species,phylum,group,common_name_division_bgr,feeding,foliose_morphology_growth_form,filamentous_morphology_growth_form,crustose_morphology_growth_form,globular_morphology_growth_form,leathery_external_morphology,articulated_external_morphology,branched_external_morphology,space_use_canopy,space_use_sub_canopy,space_use_turf,epibiotic_env_position,solitary_colonial,adult_body_size_bin,adult_motility
Ptilota serrata,Rhodophyta,Algae,Red Algae,autotroph,no,yes,no,no,no,no,yes,no,yes,no,yes,NA,NA,sessile
Pylaiella littoralis,Ochrophyta,Algae,Brown Algae,autotroph,no,yes,no,no,no,no,yes,no,yes,yes,yes,NA,NA,sessile
Saccharina latissima,Ochrophyta,Algae,Brown Algae,autotroph,no,yes,no,no,yes,no,yes,yes,no,yes,yes,NA,NA,sessile
Saccorhiza dermatodea,Ochrophyta,Algae,Brown Algae,autotroph,no,yes,no,no,no,no,yes,yes,no,yes,yes,NA,NA,sessile
Scytosiphon lomentaria,Ochrophyta,Algae,Brown Algae,autotroph,no,yes,yes,no,no,no,no,no,yes,yes,yes,NA,NA,sessile
Spermothamnion repens,Rhodophyta,Algae,Red Algae,autotroph,no,yes,no,no,no,no,yes,no,no,yes,yes,NA,NA,sessile
Sphacelaria cirrosa,Ochrophyta,Algae,Brown Algae,autotroph,no,yes,no,no,no,no,yes,no,no,yes,yes,NA,NA,sessile
Spongomorpha aeruginosa,Chlorophyta,Algae,Green Algae,autotroph,no,yes,no,no,no,no,yes,no,yes,no,yes,NA,NA,sessile
Titanoderma,Rhodophyta,Algae,Red Algae,autotroph,no,no,yes,no,no,no,no,no,no,yes,yes,NA,NA,sessile
Ulva intestinalis,Chlorophyta,Algae,Green Algae,autotroph,yes,no,no,no,no,no,no,yes,yes,yes,yes,NA,NA,sessile
Ulva lactuca,Chlorophyta,Algae,Green Algae,autotroph,yes,no,no,no,no,no,yes,yes,yes,yes,yes,NA,NA,sessile
Vertebrata lanosa,Rhodophyta,Algae,Red Algae,autotroph,no,yes,no,no,no,no,yes,no,yes,yes,yes,NA,NA,sessile
Amphipoda,Arthropoda,Invertebrate,Crustacean,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC1,motile
Annelida,Annelida,Invertebrate,Annelid worm,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC1,motile
Anomia simplex,Mollusca,Invertebrate,Bivalve,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC1,sessile
Anurida maritima,Arthropoda,Invertebrate,Collembolan,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC1,motile
Aplidium pallidum,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,colonial,SC3,sessile
Asterias forbesi,Echinodermata,Invertebrate,Sea Stars,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
Asterias rubens,Echinodermata,Invertebrate,Sea Stars,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC3,motile
Boltenia echinata,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC1,sessile
Boltenia ovifera,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,gregarious,SC2,sessile
Boreochiton ruber,Mollusca,Invertebrate,Chiton,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC1,motile
Botrylloides violaceus,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Botryllus schlosseri,Tunicata,Invertebrate,Tunicate,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Buccinum undatum,Mollusca,Invertebrate,Gastropod,predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,solitary,SC2,motile
Bugula neritina,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Bugulina spicata,Bryozoa,Invertebrate,Bryozoan,filter-suspension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,colonial,SC2,sessile
Cancer borealis,Arthropoda,Invertebrate,Crustacean,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,solitary,SC2,motile
