"","species","group","common_name_division_bgr","body_size_avg_bin","calcareous","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","intertidal","subtidal"
"109","Tectura testudinalis","Invertebrate","Gastropod","small","yes","herbivore","primary consumer","motile","motile","yes","no","yes","no"
"110","Testudinalia testudinalis","Invertebrate","Gastropod","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"111","Thylacodes","Invertebrate","Gastropod","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"112","Dynamena pumila","Invertebrate","Hydrozoan","very small","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no"
"113","Obelia","Invertebrate","Hydrozoan","medium-large","no","filter-suspension","primary consumer","sessile","motile","yes","yes","no","yes"
"114","Spirorbis","Invertebrate","Annelid worm","very small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
"115","Sedentary Polychaete","Invertebrate","Annelid worm","small","no","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"116","Annelida","Invertebrate","Annelid worm","small","no","herbivore","primary consumer","motile","motile","yes","no","yes","yes"
"117","Asterias forbesi","Invertebrate","Sea Stars","small-medium","yes","predator","secondary consumer","motile","motile","yes","no","yes","yes"
"118","Asterias rubens","Invertebrate","Sea Stars","medium-large","yes","predator","secondary consumer","motile","motile","yes","no","yes","yes"
"119","Henricia sanguinolenta","Invertebrate","Sea Stars","small-medium","yes","filter-suspension","primary consumer","motile","motile","yes","no","yes","yes"
"120","Halichondria panicea","Invertebrate","Sponge","medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"121","Halisarca dujardinii","Invertebrate","Sponge","medium-large","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"122","Hymedesmia","Invertebrate","Sponge","medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"123","Leucosolenia","Invertebrate","Sponge","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"124","Aplidium pallidum","Invertebrate","Tunicate","small-medium","no","filter-suspension","primary consumer","motile","sessile","yes","no","no","yes"
"125","Ciona savignyi","Invertebrate","Tunicate","medium","no","filter-suspension","primary consumer","sessile","sessile","no","yes","no","yes"
"126","Boltenia echinata","Invertebrate","Tunicate","small","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"127","Boltenia ovifera","Invertebrate","Tunicate","small-medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"128","Botrylloides violaceus","Invertebrate","Tunicate","medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"129","Botryllus schlosseri","Invertebrate","Tunicate","medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"130","Ciona intestinalis","Invertebrate","Tunicate","small-medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"131","Dendrodoa carnea","Invertebrate","Tunicate","small","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
