"","species","group","common_name_division_bgr","body_size_avg_bin","morphology1","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","invasive","intertidal","subtidal"
"89","Halisarca dujardinii","Invertebrate","Sponge","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"90","Hymedesmia","Invertebrate","Sponge","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"91","Leucosolenia","Invertebrate","Sponge","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"92","Aplidium pallidum","Invertebrate","Tunicate","small-medium","soft","filter-suspension","primary consumer","errant","errant","no","no","no","no","yes"
"93","Boltenia echinata","Invertebrate","Tunicate","small","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"94","Boltenia ovifera","Invertebrate","Tunicate","small-medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"95","Botrylloides violaceus","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes"
"96","Botryllus schlosseri","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes"
"97","Ciona intestinalis","Invertebrate","Tunicate","small-medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes"
"98","Ciona savignyi","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","sessile","sessile","no","yes","yes","no","yes"
"99","Dendrodoa carnea","Invertebrate","Tunicate","small","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"100","Didemnum albidum","Invertebrate","Tunicate","small","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"101","Didemnum vexillum","Invertebrate","Tunicate","small","soft","filter-suspension","primary consumer","sessile","sessile","yes","yes","yes","yes","yes"
"102","Diplosoma listerianum","Invertebrate","Tunicate","very small","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes"
"103","Cyclopterus lumpus","Vertebrate","Fish","large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"104","Morone saxatilis","Vertebrate","Fish","very large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"105","Myoxocephalus octodecemspinosus","Vertebrate","Fish","medium-large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"106","Myoxocephalus scorpius","Vertebrate","Fish","large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"107","Pholis gunnellus","Vertebrate","Fish","medium","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"108","Pollachius virens","Vertebrate","Fish","very large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"109","Pseudopleuronectes americanus","Vertebrate","Fish","large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"110","Tautoga onitis","Vertebrate","Fish","large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"111","Tautogolabrus adspersus","Vertebrate","Fish","medium-large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"112","Urophycis regia","Vertebrate","Fish","medium-large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
