"","binomial","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"1","Accipiter striatus",2.5035059001445,-0.532451701653553,-1.43396256644638,1.71712455731159,0.559803340971762,0.162166004820983,-0.357144055728349,-0.367990059688949,-0.176917002677957
"2","Adelomyia melanogenys",-2.19732180434841,-1.8809386313153,1.66678145003378,-1.04423696115709,-0.351622931355215,0.147950332807796,-0.239590110035925,-0.265594690821031,-0.16355627995365
"3","Aglaiocercus kingii",-1.6584307819443,-2.47634726456133,0.730220289175021,-0.762381349741727,-0.95096922160571,0.000821190335882238,-0.565551116829247,-0.171256267569013,0.102412654991465
"4","Amazilia franciae",-2.05943369704462,-2.21531217623906,0.571715067804166,-1.3138846832815,-0.49341371946058,0.735138243944058,-0.215439075345037,0.0922224189564647,0.00995238367921504
"5","Amazilia saucerottei",-2.06257195501823,-3.40394954489751,-1.27265285342021,-0.696592805177554,-0.307967689578541,0.788605390834035,-0.161538301289687,-0.153582807025954,-0.00735307062172133
"6","Amazilia tzacatl",-2.05466882266423,-1.17740713345297,-1.35285660009242,-0.644446100942441,0.00340041183267714,0.270674062251512,-0.353747044748392,0.402827139958078,-0.172354920421567
"7","Amazona mercenarius",3.71577211803772,-0.110180002417797,0.434554329600783,-0.863441306417213,1.94574694924582,-2.01354669605287,0.463244863530848,0.943745842786506,0.216189497198257
"8","Ampelioides tschudii",0.228642583126538,0.633868622315464,0.664139126643916,-0.243370716150993,0.0696670343047378,-0.0407633496411213,0.778852896609362,-0.151664449432763,0.17544283959014
"9","Ampelion rufaxilla",0.217844909665126,0.310860025663928,1.2074181956488,-0.0900395414311765,-0.256216650455288,-0.0999707144941585,0.688677290932779,-0.0276737898261944,0.117959938969207
"10","Anabacerthia striaticollis",-0.978735207220976,0.604576085916826,0.976874486312074,-0.070020237770161,-0.35130170293257,-0.0376882718747352,-0.0333163667657534,0.177427747392508,-0.00674646726040699
"11","Andigena nigrirostris",6.8825191024941,1.60268101837176,-0.721590729548095,-4.11347429590164,0.841478309297178,-0.938289449983831,-0.288460500518154,-0.622145347938778,0.219091794267019
"12","Anisognathus somptuosus",-0.332546567426182,0.777249885103817,0.978309494244717,-0.0995235352137709,-0.322378663895054,0.202571009428837,0.41369939828881,-0.0677728982144193,0.0932285244853324
"13","Anthracothorax nigricollis ",-1.64852254767408,-1.3435419214281,-0.0700923646793827,-0.962636307054263,-0.0528402681484194,0.268256062034663,-0.332783828822604,0.389852697720025,-0.0566810794032997
"14","Arremon brunneinucha",-0.143797687829323,1.23089812260984,0.123738241228454,0.425066078104387,-0.199665044855665,0.230495917879437,-0.0286537795603638,-0.088040132613463,0.180042736579349
"15","Atlapetes albinucha",-0.446089677024195,1.05498099078839,0.0844376381972718,0.168674257320848,-0.17959652545738,0.0273265475028232,0.0188000546319921,-0.24032675356746,0.111799414969512
"16","Atlapetes latinuchus",-0.597355676478149,1.08242117111913,0.100198053537425,0.43503317833695,-0.235203130427285,-0.0946133196819158,-0.125722657407678,-0.223935901090708,0.0619663904764098
"17","Attila spadiceus",-0.106183847252511,0.337935321953939,-1.56786249228118,0.404032038680585,-0.181955996735427,0.497919416401353,0.191548394788686,-0.223878213064444,0.0739250370603621
"18","Aulacorhynchus haematopygus",5.17974022249329,1.72953642027961,-1.31253040433057,-4.08690298791541,-0.153538001866083,0.68802946817196,-0.181662652641629,-0.330898743303684,0.255315054358514
"19","Aulacorhynchus prasinus",4.0911990985973,1.05212734077155,-2.44694138526271,-2.46258282862368,0.376882237664793,0.11669897030408,0.191663384956365,-0.289795535866729,0.200505723127502
"20","Basileuterus culicivorus",-1.46176056933637,0.716670414111989,-0.274571916888268,0.171960591969859,0.177360894018689,-0.151001861272976,-0.350596622140855,-0.136587246373118,-0.19169579262198
"21","Basileuterus tristriatus",-1.42371242828955,0.820215673258943,0.496291239272124,0.148084292016702,0.0270538288967313,-0.13946087946838,-0.266448049067601,-0.152249692554879,-0.121977300865389
"22","Boissonneaua flavescens",-1.56164649398323,-2.24202960428996,0.744860955617696,-0.721955355098497,-0.412670900184638,0.384486480331469,-0.0717974669436054,0.141534795519319,0.106602939439773
"23","Bolborhynchus lineola",0.0187780194576334,-1.04903719060477,1.21650959386289,-0.65406240177004,0.255994559916479,-0.546887900090533,1.01385286113656,-0.35735869838034,0.236898397586214
"24","Bubulcus ibis",4.47299936821819,-2.44826750388921,1.01131585533741,-0.301231558435838,0.559075136098727,2.77857850312808,-0.432250146220256,-0.54715042607686,-0.0691341738752496
"25","Buteo platypterus",4.98182960398162,-3.23023966168101,2.11053163191172,0.777039468837135,-0.455405859646176,0.577399459306478,0.256462160690861,-1.0403488804193,-0.250135060221872
"26","Calliphlox mitchellii",-2.75722873074074,-0.194396117796822,0.217713810303407,-0.785867106960453,0.413959158604219,-0.201099541376144,-0.653344970981485,0.454117867208897,-0.214692202167027
"27","Campephilus melanoleucos",3.14096396051312,-0.997535076685258,-1.36037799727027,-0.788532699223693,-0.387061087582058,0.271511116427931,0.304167515052586,0.134065544187394,0.744971353822893
"28","Campylorhamphus pusillus",0.296494100065132,0.77425057511884,0.473911317048937,-1.29754848097643,-0.606296636864654,0.926316714328143,-0.688160848444838,1.18297631969254,0.406126386690195
"29","Cardellina canadensis",-1.51294196865845,0.333528713061959,-0.141936000306888,0.137320963588076,0.03647121081983,-0.0546222093288566,-0.256005180561355,-0.133756353794707,-0.29435557213019
