"","label","cluster"
"1","Semibalanus balanoides","1"
"2","Spirorbis","1"
"3","Dynamena pumila","2"
"4","Anomia simplex","1"
"5","Hiatella arctica","1"
"6","Testudinalia testudinalis","1"
"7","Crepidula fornicata","1"
"8","Membranipora membranacea","2"
"9","Electra pilosa","1"
"10","Cryptosula pallasiana","1"
"11","Schizoporella unicornis","1"
"12","Mytilus edulis","1"
"13","Modiolus modiolus","1"
"14","Halichondria panicea","1"
"15","Botrylloides violaceus","1"
"16","Botryllus schlosseri","1"
"17","Nudibranchia","3"
"18","Metridium dianthus","4"
"19","Diadumene lineata","3"
"20","Annelida","3"
"21","Small worm","3"
"22","Amphipoda","3"
"23","Pagurus acadianus","3"
"24","Cancer borealis","1"
"25","Cancer irroratus","4"
"26","Carcinus maenus","3"
"27","Hemigrapsus sanguineus","3"
"28","Ophiopholis aculeata","3"
"29","Henricia sanguinolenta","3"
"30","Asterias forbesi","3"
"31","Asterias rubens","3"
"32","Strongylocentrotus droebachiensis","3"
"33","Boreochiton ruber","3"
"34","Isopoda","2"
"35","Littorina saxatilis","3"
"36","Nucella lapillus","3"
"37","Littorina littorea","1"
"38","Lacuna vincta","3"
"39","Littorina obtusata","3"
