binomial,id,1911,1959,1994,2016,weight,TotalCulmen,BillWidth,WingLength,TailLength,Tarsus,HWI,Hab_breadth,Gen_length,Historical Abundance,Current Abundance,POP,IUCN,Data_Source,Functional_Uniqueness,Functional_Distinctiveness,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9
Phyllomyias plumbeiceps,95,1,,,1,9.00,9.45,4.05,61.90,54.03,9.80,17.12,1,3.6,0.4,0.2,C,LC,Medidas ICN,0.016565238,0.125175116,-1.972342609,0.586291555,0.821819442,-0.133821386,-0.20273485,-0.556572033,-0.023312787,0.035932495,-0.260087675
Elaenia flavogaster,96,1,1,1,1,12.00,11.57,4.18,70.02,59.09,16.19,19.35,6,4.6,0.6,0.6,C,LC,MontoyaEtAl2018,0.014746969,0.105167558,-1.220990772,-0.213390144,-0.653680876,0.356619547,0.243565997,-0.319777083,-0.252932341,-0.015082797,-0.07225938
Elaenia chiriquensis,97,1,1,1,1,15.40,12.93,4.40,74.25,66.06,16.43,20.04,7,4.6,0.6,0.4,C,LC,Medidas ICN,0.01820177,0.106693083,-0.973440745,-0.351946727,-0.969820678,0.424872968,0.168170679,-0.284171911,-0.198378429,0.04008788,0.036292493
Elaenia frantzii,98,1,1,1,1,14.93,12.25,3.97,72.19,64.25,16.47,19.35,5,4.6,0.8,0.6,C,LC,MontoyaEtAl2018,0.015138688,0.100535178,-1.1290058,-0.061094731,-0.302767553,0.344904597,0.132366335,-0.332430988,-0.223016986,0.047268975,0.022215415
Elaenia pallatangae,99,1,1,,,16.07,11.87,4.14,70.93,63.29,18.18,24.32,6,4.6,0.2,0,A,LC,MontoyaEtAl2018,0.016065674,0.103808265,-1.026315191,-0.413211807,-0.531987316,0.422644238,0.148998739,-0.185139889,-0.164510353,-0.10370101,0.079934935
Zimmerius chrysops,100,1,1,1,1,10.00,10.20,3.43,52.92,42.22,15.44,13.05,5,3.6,1,1,C,LC,MontoyaEtAl2018,0.017203698,0.113784923,-1.849890213,0.317542931,-0.51766114,0.324192782,0.213780457,-0.101524569,-0.159570303,0.007285192,-0.114602855
Phylloscartes poecilotis,101,1,1,1,1,8.13,11.57,4.06,56.17,47.61,17.51,11.90,1,3.6,0.6,0.6,C,LC,MontoyaEtAl2018,0.023533023,0.119352447,-1.854857599,0.955909343,0.753414014,-0.033866296,0.016419156,-0.210240912,-0.274638441,-0.144335508,-0.335050144
Phylloscartes ophthalmicus,102,1,1,1,1,9.20,11.20,3.83,60.09,55.62,14.17,17.17,2,3.6,0.4,0.4,C,LC,Medidas ICN,0.01640882,0.111013025,-1.797067741,0.507171994,0.518629418,0.005341413,-0.15623589,-0.304343162,-0.180784744,-0.047587791,-0.218019658
Mionectes striaticollis,103,1,1,1,1,12.92,13.50,4.01,64.97,48.49,16.54,14.28,3,4,0.6,0.2,C,LC,MontoyaEtAl2018,0.016114178,0.101406778,-1.492040215,0.536910868,0.195700946,0.089030631,0.154865997,-0.160461935,-0.140834019,0.066613349,-0.112247924
Hemitriccus granadensis,104,1,1,1,1,7.18,13.16,3.55,44.03,40.71,15.40,6.76,2,3.6,0.2,0.2,C,LC,MontoyaEtAl2018,0.017322241,0.125634385,-2.062801011,1.051214801,0.30056861,-0.073262222,0.184383888,-0.198723474,-0.403648745,0.021069747,-0.238041952
Platyrinchus mystaceus,105,1,1,1,1,9.70,11.60,7.63,57.40,31.30,18.20,8.35,5,3,0.6,0.2,C,LC,Medidas ICN-Mahecha,0.020421233,0.1227597,-1.583341474,0.802132853,-0.811765638,-0.099694767,0.281031846,-0.025131666,0.288433879,-0.452729003,-0.521152023
Myiophobus flavicans,106,1,1,1,1,12.33,13.68,4.34,68.79,56.03,16.90,18.98,2,3.6,0.6,0.2,C,LC,MontoyaEtAl2018,0.01640882,0.103018723,-1.476266766,0.488362285,0.567423352,-0.02366246,-0.167130422,-0.113737795,-0.073962977,-0.06259496,-0.194186528
Myiophobus fasciatus,107,1,1,1,1,9.90,13.58,5.00,59.67,53.25,16.03,15.10,8,3.6,0.6,0.2,C,LC,MontoyaEtAl2018,0.02504,0.117881546,-1.399385329,-0.125877364,-1.550661068,0.28007447,0.132179291,-0.04991038,-0.168418707,-0.089499852,-0.165115762
Pyrrhomyias cinnamomeus,108,1,1,1,1,9.81,13.39,5.07,67.25,55.05,12.05,21.64,3,3.6,0.6,0.2,C,LC,MontoyaEtAl2018,0.016383169,0.106623044,-1.595765359,0.165884546,0.207233383,-0.216891016,-0.190503771,-0.301715038,0.011846825,-0.06544579,-0.264684373
Empidonax virescens,109,1,1,1,1,15.00,12.54,4.00,72.00,61.67,16.68,20.30,6,3.7,0.6,0.6,C,LC,Medidas ICN-Mahecha,0.014746969,0.103160645,-1.254375065,-0.144855376,-0.689438522,0.398645582,-0.086281864,-0.056640891,-0.055624374,0.023627387,-0.032318741
Contopus cooperi,110,1,1,1,1,26.00,21.53,8.54,110.10,69.09,15.08,39.28,7,3.5,0.6,0.6,C,NT,Medidas ICN-Mahecha,0.035761236,0.127546199,-0.209600234,-1.052462759,-0.846470859,-0.382287782,-0.48555561,0.161917324,0.684457862,-0.181802259,-0.236323558
Contopus fumigatus,111,1,1,1,1,19.90,18.64,6.93,89.90,72.31,14.87,22.37,3,3.5,0.2,0.2,C,LC,MontoyaEtAl2018,0.031818921,0.102248201,-0.774126262,0.290203104,0.192125652,-0.328608614,-0.47364498,-0.202435518,0.287360809,-0.026780355,-0.208707629
Contopus sordidulus,112,1,1,1,1,13.00,14.06,6.30,78.00,62.00,16.05,24.87,4,3.4,0.6,0.6,C,LC,Medidas ICN-Mahecha,0.017153477,0.102760578,-1.161031778,-0.007940598,-0.078031662,-0.119587152,-0.313489603,-0.121302282,0.190016539,-0.268204673,-0.303962854
Contopus virens,113,1,1,1,1,11.20,17.31,7.57,83.30,58.77,13.87,26.28,4,3.6,0.6,0.6,C,LC,Medidas ICN-Mahecha,0.017153477,0.107000186,-1.039822204,-0.090476673,-0.120864882,-0.491626563,-0.256230833,-0.195698621,0.233486056,-0.261688686,-0.445876624
Pyrocephalus rubinus,114,1,1,1,1,14.40,17.32,5.56,78.51,54.85,15.90,18.09,7,3.2,0.6,0.4,C,LC,MontoyaEtAl2018,0.026109543,0.109469678,-1.121855209,-0.066371059,-1.188447316,0.085601894,-0.111749964,0.131936933,0.115581153,0.06632633,-0.218569277
Knipolegus poecilurus,115,1,1,1,1,14.60,15.50,3.90,77.62,54.10,23.50,21.72,6,3.6,0.4,0.2,C,LC,MontoyaEtAl2018,0.01864855,0.104050737,-1.065108335,-0.128153537,-0.622653258,0.438706318,0.022410089,0.400464046,-0.169030541,-0.099934979,-0.153852905
Legatus leucophaius,116,1,1,,,21.00,11.90,6.68,77.00,56.30,14.73,22.58,5,3.6,1,0,A,LC,Medidas ICN-Mahecha,0.026827833,0.102699781,-1.050845188,-0.01992295,-0.418766581,0.045017643,-0.097170109,-0.212138217,0.485078046,-0.199076456,-0.095730746
Myiozetetes cayanensis,117,1,1,1,1,30.13,13.60,5.50,84.00,73.00,22.28,16.45,7,3.6,0.6,1,C,LC,Medidas ICN-Mahecha,0.022078615,0.108513825,-0.577020371,0.094915596,-1.07782297,0.640842468,-0.141072483,0.074107221,0.184872179,-0.082493045,0.073038853
Myiodynastes chrysocephalus,118,1,1,1,1,38.30,23.23,11.75,103.48,80.98,18.43,22.46,3,3.6,0.8,0.8,C,LC,MontoyaEtAl2018,0.040461183,0.115992326,0.187566908,0.555557486,0.04758386,-0.777854216,-0.52501477,-0.244686396,0.805793648,-0.431691735,-0.269728888
Tyrannus melancholicus,119,1,1,1,1,37.40,25.83,9.22,121.93,99.84,17.57,23.50,9,4.2,0.6,0.6,C,LC,MontoyaEtAl2018,0.040734806,0.137558067,0.581936192,-0.512690324,-1.758603767,-0.095498786,-0.460489522,-0.162634601,0.311962231,0.123991896,-0.107597049
Myiarchus apicalis,120,1,,,,29.20,21.69,7.85,89.51,88.04,19.77,15.29,4,5.1,0.8,0,A,LC,Medidas ICN,0.014813908,0.107535943,0.02731225,0.489040588,-0.152003907,-0.196275598,-0.039676859,-0.481360893,-0.078945914,-0.049296088,0.064499003
Attila spadiceus,121,1,1,1,1,37.00,21.09,7.23,83.00,74.00,27.72,13.48,8,3.2,0.4,0.6,C,LC,Medidas ICN-Mahecha,0.019508333,0.124475899,-0.106183847,0.337935322,-1.567862492,0.404032039,-0.181955997,0.497919416,0.191548395,-0.223878213,0.073925037
Pipreola riefferii,122,1,1,1,1,51.04,16.73,5.59,89.26,69.87,21.92,17.05,1,4.6,1,1,C,LC,MontoyaEtAl2018,0.021692028,0.111211595,-0.365978242,0.827588724,1.017116044,0.124022483,-0.019559962,-0.175289375,0.275258514,0.069506326,0.262609513
Pipreola aureopectus,123,1,,,,46.00,13.97,7.07,83.16,57.72,20.63,18.73,2,4.6,0.2,0,A,LC,Medidas ICN-Mahecha,0.025387037,0.105062704,-0.465697866,0.633123071,0.651067481,0.029053567,0.18886697,-0.247093178,0.528322771,-0.188071236,0.170507463
Ampelioides tschudii,124,1,1,1,1,78.40,20.53,8.87,102.72,63.49,22.99,21.40,2,4.6,0.4,0.6,C,LC,AMNH,0.032178764,0.116093644,0.228642583,0.633868622,0.664139127,-0.243370716,0.069667034,-0.04076335,0.778852897,-0.151664449,0.17544284
Ampelion rufaxilla,125,1,,,,73.90,18.97,7.45,117.95,76.50,22.16,28.47,1,4.6,0.4,0,A,LC,AMNH,0.02932294,0.123639948,0.21784491,0.310860026,1.207418196,-0.090039541,-0.25621665,-0.099970714,0.688677291,-0.02767379,0.117959939
Rupicola peruvianus,126,1,,,,222.00,25.71,10.72,196.36,118.11,33.76,9.21,3,4.6,0.6,0,A,LC,MontoyaEtAl2018,0.063303957,0.170893056,2.117282628,1.251428762,0.268590867,0.474261328,-0.514427467,-0.067676821,0.870612104,0.331352226,-0.347191789
Pyroderus scutatus,127,1,,,,357.00,41.51,15.95,251.00,130.96,38.57,12.69,3,4.6,1,0,A,LC,MontoyaEtAl2018,0.063303957,0.217803162,3.623839437,1.336218804,0.168804417,-0.385969177,-0.774702003,0.253365115,1.232236437,0.322676165,-0.851746081
Chloropipo flavicapilla,128,1,1,1,1,20.00,8.34,4.85,71.50,45.33,16.49,15.48,1,4.4,0.6,0.2,C,VU,Medidas ICN-Mahecha,0.019296048,0.11023423,-1.382601717,0.739996906,0.944193024,0.147390885,0.275428334,-0.432848904,0.236518065,-0.071802757,-0.068329366
Masius chrysopterus,129,1,1,1,1,12.30,11.03,3.10,59.19,37.15,15.85,12.55,2,4.4,0.4,0.6,C,LC,MontoyaEtAl2018,0.016461206,0.113086437,-1.747004688,0.667902688,0.570060547,0.150031306,0.431784344,-0.254274926,-0.187688793,0.132422571,-0.066217111
Pachyramphus versicolor,130,1,1,1,1,13.60,12.86,5.22,62.82,47.45,16.10,17.70,2,4.6,1,0.6,C,LC,MontoyaEtAl2018,0.015326719,0.104211609,-1.346063094,0.484101919,0.586754226,-0.13692056,0.293921395,-0.373666477,-0.05329636,-0.135536299,-0.090163809
Pachyramphus polychopterus,131,1,1,1,1,20.80,16.52,6.38,73.46,54.50,17.02,18.45,8,4.6,0.8,0.6,C,LC,MontoyaEtAl2018,0.0200803,0.110794654,-0.686940501,-0.286049202,-1.409190488,0.15968844,0.395216942,-0.136183316,0.089126108,-0.037645688,0.069911825
Cyclarhis nigrirostris,132,1,1,1,1,31.90,19.63,5.78,75.61,61.85,22.01,14.92,2,5.2,0.6,0.8,C,LC,MontoyaEtAl2018,0.025989484,0.104426955,-0.444154494,0.739215172,0.624827054,-0.087609908,0.334530091,-0.194937143,-0.084808702,0.013518875,0.226032665
Pachysylvia semibrunnea,133,1,1,1,1,11.33,14.31,3.88,62.00,53.33,19.15,7.88,3,5.2,0.4,0.2,C,LC,Medidas ICN-Mahecha,0.023125632,0.109612982,-1.246276729,0.758456986,0.177897161,0.167619418,0.553428098,-0.417879605,-0.579298113,0.086770204,-0.070789773
Vireo leucophrys,134,1,1,1,1,26.00,14.43,3.75,65.30,46.17,17.77,18.23,4,4.2,0.6,0.6,C,LC,MontoyaEtAl2018,0.020685024,0.097681739,-1.182736586,0.250228038,0.011413248,0.251906477,0.259451302,0.036653581,0.103489023,0.142918953,0.263771067
