species,phylum,group,common_name_division,solitary_colonial,body_size_lower_cm,adult_body_size_upper_cm,adult_body_size_bin,calcareous,herbivore,predator,omnivore,deposit_feeder,filter_suspension,scavenger,trophic_level,motility_adult,habitat_type,benthic,pelagic,epibiotic,intertidal,subtidal,notes,Source,synonym,dietary_pref
Metridium senile,Cnidaria,Invertebrate,Cnidarian,gregarious,21,50,SC3,no,no,yes,no,no,no,no,secondary consumer,sessile,epifaunal/epilithic,yes,no,yes,yes,no,,BIOTIC/marlin,,Suspension feeder
Pachycerianthus borealis,Cnidaria,Invertebrate,Cnidarian,solitary,,30,SC3,no,no,yes,no,no,no,no,secondary consumer,sessile,benthic infauna,yes,no,no,no,yes,,,,Suspension feeder
Dynamena pumila,Cnidaria,Invertebrate,Hydrozoan,colonial,,3,SC1,yes,no,no,no,no,yes,no,primary consumer,sessile,"epibenthic, epiphytic",yes,no,yes,yes,no,,,,filter feeder
Obelia,Cnidaria,Invertebrate,Hydrozoan,colonial,21,50,SC3,no,no,no,no,no,yes,no,primary consumer,motile,epibenthic/epilithic/epiphytic/epifaunal/epizoic,yes,no,yes,no,yes,,,,suspension feeder
Cucumaria frondosa,Echinodermata,Invertebrate,Echinoderm,gregarious,,50,SC3,yes,no,no,no,yes,yes,no,decomposer,motile,epibenthic,yes,no,no,no,yes,"calcareous due to ossicles, but generally soft bodied",sealifebase,,deposit feeder
Echinarachnius parma,Echinodermata,Invertebrate,Echinoderm,solitary,1,10,SC2,yes,yes,no,yes,yes,no,yes,decomposer,motile,"epibenthic, infaunal",yes,no,no,no,yes,,"WoRMS,",,"deposit feeder, herbivore"
Ophiopholis aculeata,Echinodermata,Invertebrate,Echinoderm,solitary,0.2,20,SC2,yes,no,yes,no,no,no,yes,secondary consumer,motile,epibenthic,yes,no,no,no,yes,,worms/sealifebase,Ophiopholis,scavenger/detritivore
Strongylocentrotus droebachiensis,Echinodermata,Invertebrate,Echinoderm,gregarious,3,10,SC2,yes,yes,no,no,no,no,no,primary consumer,motile,epibenthic,yes,no,yes,yes,yes,,Memorial University of Newfoundland,,herbivore
Asterias forbesi,Echinodermata,Invertebrate,Sea Stars,solitary,7,15,SC2,yes,no,yes,no,no,no,no,secondary consumer,motile,epibenthic,yes,no,no,yes,yes,,ADW,,predator
Asterias rubens,Echinodermata,Invertebrate,Sea Stars,solitary,21,50,SC3,yes,no,yes,no,no,no,yes,secondary consumer,motile,epibenthic,yes,yes,no,yes,yes,,BIOTIC/marlin,,predator/scavenger
Henricia sanguinolenta,Echinodermata,Invertebrate,Sea Stars,solitary,,10,SC2,yes,no,no,no,no,yes,yes,primary consumer,motile,epibenthic,yes,no,no,yes,yes,,ADW,,filter feeder
Small worm,Mixed,Invertebrate,Small worm,solitary,,5,SC1,no,yes,yes,yes,yes,no,yes,,motile,,yes,,,yes,yes,"mix of phyla - small, free living forms  / no parasites",,"Platyhelminthes, Nematodes, Nemertea, Notoplana, Acoela, Turbellaria, Euplana, Foviella, Micrura",
Anomia simplex,Mollusca,Invertebrate,Bivalve,solitary,1,5,SC1,yes,no,no,no,no,yes,no,primary consumer ,sessile,epilithic,yes,no,yes,yes,no,very sensitive to disturbsnce,"WoRMS,",,Suspension feeder
Hiatella arctica,Mollusca,Invertebrate,Bivalve,solitary,3,5,SC1,yes,no,no,no,no,yes,no,primary consumer ,sessile,"epilithic, ephizoic, rock-boring",yes,no,yes,yes,no,"bore into rock, very sensotive to disturbance",Marlin,,Suspension feeder
Modiolus modiolus,Mollusca,Invertebrate,Bivalve,gregarious,11,20,SC2,yes,no,no,no,no,yes,no,primary consumer,sessile,"epifaunal, infaunal, epibenthic, epilithic",yes,no,yes,yes,yes,,,,suspension feeder
Mya arenaria,Mollusca,Invertebrate,Bivalve,solitary,,10,SC2,yes,no,no,no,no,yes,no,primary consumer ,sessile,benthic,yes,no,no,yes,yes,,,,Suspension feeder
Mytilus edulis,Mollusca,Invertebrate,Bivalve,gregarious,11,20,SC2,yes,no,no,no,no,yes,no,primary consumer,sessile,epilithic,yes,no,yes,yes,yes,,,,suspension feeder
Ostrea edulis,Mollusca,Invertebrate,Bivalve,gregarious,3,10,SC2,yes,no,no,no,no,yes,no,primary consumer,sessile,epifaunal,no,no,yes,yes,yes,,BIOTIC/marlin,,suspension feeder
Placopecten magellanicus,Mollusca,Invertebrate,Bivalve,gregarious,,20,SC2,yes,no,no,no,no,yes,no,primary consumer ,sessile,benthic,yes,no,yes,no,yes,,worms,,Suspension feeder
Boreochiton ruber,Mollusca,Invertebrate,Chiton,solitary,,2.1,SC1,yes,yes,no,no,no,no,no,primary consumer,motile,epibenthic,yes,no,yes,no,yes,,worms,,herbivore
Stenosemus albus,Mollusca,Invertebrate,Chiton,solitary,,1.3,SC1,yes,yes,no,no,no,no,no,primary consumer,motile,epibenthic,yes,no,no,no,yes,,sealifebase,,herbivore
Buccinum undatum,Mollusca,Invertebrate,Gastropod,solitary,3,10,SC2,yes,no,no,no,no,no,yes,secondary consumer,motile,"epifaunal, epibenthic",yes,no,yes,no,yes,,,,scavenger
Crepidula fornicata,Mollusca,Invertebrate,Gastropod,gregarious,3,10,SC2,yes,no,no,no,no,yes,no,primary consumer,sessile,epifaunal/epibenthic/epizoic,yes,no,yes,yes,yes,,,,suspension feeder
