"","Genus","species","N","Tmax","max_metric","error","error.measure","Multiple.measures","max_interval_after_LT0","Tmax_2","max_metric_2","error.1","error.measure.1","max_interval_before_LT100","max_pretreatment","max_ramp","lat_max","long_max","elevation_max","REF_max","location_max","N.1","tmin","min_metric","error.2","error_type","Multiple.measures_min","min_interval_after_LT0","N.2","tmin_2","min_metric_2","error.3","error_type.1","min_interval_before_LT100","min_pretreatment","ramp_min","lat_min","long_min","elevation_min","REF_min","location_min","Phylum","Class","Order","Family","Quality.of.UTNZ","genus"
"16","Phycodrys","rubens",6,18,"LT0",NA,"","N",2,20,"LT100",NA,NA,3,"",NA,54.19261,7.86732,0,"Lüning_1984",1,NA,"-2","LT0","","","N",6,NA,-8,"LT100",NA,NA,6,"",NA,48.7262,-3.985322,0,"Biebl_1958",1,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","","Asterias"
"17","Corallina","officinalis",5,27.4,"LT0",NA,"","N",2,30,"LT100",NA,NA,2,"",NA,54.19261,7.86732,0,"Lüning_1984",1,NA,"-9.5","LT50","1.2","SE","N",NA,NA,NA,"",NA,NA,NA,"",NA,-45.95,170.333333,0,"Frazer_et_al_1988",1,"Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","","Corallina"
"18","Cystoclonium","purpureum",3,23,"LT0",NA,"","N",2,25,"LT100",NA,NA,2,"",NA,54.19261,7.86732,0,"Lüning_1984",1,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Rhodophyta","Florideophyceae","Gigartinales","Cystocloniaceae","","Cystoclonium"
"19","Bonnemaisonia","hamifera",1,23,"LT0",NA,"","N",2,25,"LT100",NA,NA,2,"",NA,54.19261,7.86732,0,"Lüning_unpublished_results_in_Lüning_1981",1,NA,"-2","LT0","","","N",6,NA,-8,"LT100",NA,NA,6,"",NA,48.7262,-3.985322,0,"Biebl_1958",1,"Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","","Bonnemaisonia"
"20","Dumontia","contorta",NA,24,"LT0",NA,"","Y",2,26,"LT100",NA,NA,2,"",NA,48.726199,-3.985325,0,"Rietema_&_Breeman_1982",1,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Rhodophyta","Florideophyceae","Gigartinales","Dumontiaceae","","Dumontia"
"21","Littorina","littorea",20,35.3,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,3.073,"Davenport_&_Davenport_2005",1,20,"-13","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,3.073,"Davenport_&_Davenport_2005",1,"Mollusca","Gastropoda","Littorinimorpha","Littorinidae","","Littorina"
"22","Littorina","obtusata",20,29.6,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,3.077,"Davenport_&_Davenport_2005",1,20,"-13","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,3.077,"Davenport_&_Davenport_2005",1,"Mollusca","Gastropoda","Littorinimorpha","Littorinidae","","Littorina"
"23","Littorina","saxatilis",20,35,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,3.407,"Davenport_&_Davenport_2005",1,20,"-16.4","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,3.407,"Davenport_&_Davenport_2005",1,"Mollusca","Gastropoda","Littorinimorpha","Littorinidae","","Littorina"
"24","Littorina","saxatilis",20,35,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,3.407,"Davenport_&_Davenport_2005",1,20,"-16.4","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,3.407,"Davenport_&_Davenport_2005",1,"Mollusca","Gastropoda","Littorinimorpha","Littorinidae","","Morone"
"25","Nucella","lapillus",20,28.2,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,2.59,"Davenport_&_Davenport_2005",1,20,"-6.4","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,55.75,-5,2.59,"Davenport_&_Davenport_2005",1,"Mollusca","Gastropoda","Neogastropoda","Muricidae","","Nucella"
"26","Tectura","testudinalis",20,25.5,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,0.803,"Davenport_&_Davenport_2005",1,20,"-7.4","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,0.803,"Davenport_&_Davenport_2005",1,"Mollusca","Gastropoda","Patellogastropoda","Lottiidae","","Tectura"
"27","Tectura","testudinalis",20,25.5,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,0.803,"Davenport_&_Davenport_2005",1,20,"-7.4","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,0.803,"Davenport_&_Davenport_2005",1,"Mollusca","Gastropoda","Patellogastropoda","Lottiidae","","Testudinalia"
"28","Drosophila","serrata",5550,36.7,"ctmax",0.9,"SE","Y",NA,NA,"",NA,NA,NA,"25",NA,-17,146,130,"Berrigan_2000",2,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Arthropoda","Insecta","Diptera","Drosophilidae","","Ptilota"
"29","Camponotus","americanus",NA,42.8,"ctmax",NA,"","N",NA,NA,"",NA,NA,NA,"25",0.2,36.04,-79.07,180,"Diamond_et_al_2012",1,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","","Homarus"
