species,group,common_name_division_bgr,body_size_avg_bin,morphology1,dietary_pref_c,trophic_level,motility_juv,motility_adult,benthic,epibiotic,invasive,intertidal,subtidal
Aplidium pallidum,Invertebrate,Tunicate,small-medium,soft,filter-suspension,primary consumer,motile,sessile,yes,no,no,no,yes
Boltenia echinata,Invertebrate,Tunicate,small,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Boltenia ovifera,Invertebrate,Tunicate,small-medium,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Botrylloides violaceus,Invertebrate,Tunicate,medium,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,yes,no,yes
Botryllus schlosseri,Invertebrate,Tunicate,medium,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,yes,yes,yes
Ciona intestinalis,Invertebrate,Tunicate,small-medium,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,yes,no,yes
Ciona savignyi,Invertebrate,Tunicate,medium,soft,filter-suspension,primary consumer,sessile,sessile,no,yes,yes,no,yes
Dendrodoa carnea,Invertebrate,Tunicate,small,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Didemnum albidum,Invertebrate,Tunicate,small,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Didemnum vexillum,Invertebrate,Tunicate,small,soft,filter-suspension,primary consumer,sessile,sessile,yes,yes,yes,yes,yes
Diplosoma listerianum,Invertebrate,Tunicate,very small,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,yes,no,yes
Cyclopterus lumpus,Vertebrate,Fish,large,soft,predator,secondary consumer,motile,motile,yes,no,no,no,yes
Morone saxatilis,Vertebrate,Fish,very large,soft,predator,secondary consumer,motile,motile,yes,no,no,no,yes
Myoxocephalus octodecemspinosus,Vertebrate,Fish,medium-large,soft,predator,secondary consumer,motile,motile,yes,no,no,no,yes
Myoxocephalus scorpius,Vertebrate,Fish,large,soft,predator,secondary consumer,motile,motile,yes,no,no,no,yes
Pholis gunnellus,Vertebrate,Fish,medium,soft,predator,secondary consumer,motile,motile,yes,no,no,no,yes
Pollachius virens,Vertebrate,Fish,very large,soft,predator,secondary consumer,motile,motile,yes,no,no,no,yes
Pseudopleuronectes americanus,Vertebrate,Fish,large,soft,predator,secondary consumer,motile,motile,yes,no,no,no,yes
Tautoga onitis,Vertebrate,Fish,large,soft,predator,secondary consumer,motile,motile,yes,no,no,no,yes
Tautogolabrus adspersus,Vertebrate,Fish,medium-large,soft,predator,secondary consumer,motile,motile,yes,no,no,no,yes
Urophycis regia,Vertebrate,Fish,medium-large,soft,predator,secondary consumer,motile,motile,yes,no,no,no,yes
