"","label","cluster"
"1","Metridium senile","1"
"2","Semibalanus balanoides","1"
"3","Spirorbis","1"
"4","Crepidula fornicata","1"
"5","Modiolus modiolus","1"
"6","Mytilus edulis","1"
"7","Anomia simplex","2"
"8","Hiatella arctica","2"
"9","Strongylocentrotus droebachiensis","2"
"10","Nucella lapillus","3"
"11","Littorina saxatilis","1"
"12","Tectura testudinalis","3"
"13","Littorina littorea","3"
"14","Lacuna vincta","3"
"15","Littorina obtusata","3"
"16","Amphipoda","3"
"17","Carcinus maenus","3"
"18","Cancer irroratus","1"
"19","Asterias forbesi","2"
"20","Asterias rubens","2"
