"","label","cluster"
"1","Metridium senile","1"
"2","Didemnum vexillum","2"
"3","Botrylloides violaceus","2"
"4","Botryllus schlosseri","2"
"5","Crepidula fornicata","2"
"6","Membranipora membranacea","2"
"7","Schizoporella unicornis","2"
"8","Modiolus modiolus","3"
"9","Mytilus edulis","4"
"10","Anomia simplex","4"
"11","Hiatella arctica","4"
"12","Semibalanus balanoides","4"
"13","Spirorbis","4"
"14","Littorina saxatilis","2"
"15","Tectura testudinalis","1"
"16","Nucella lapillus","1"
"17","Littorina littorea","1"
"18","Lacuna vincta","1"
"19","Littorina obtusata","1"
"20","Amphipoda","1"
"21","Carcinus maenus","1"
"22","Strongylocentrotus droebachiensis","4"
"23","Cancer borealis","4"
"24","Cancer irroratus","4"
"25","Henricia sanguinolenta","2"
"26","Asterias forbesi","2"
"27","Asterias rubens","2"
