"year","name"
2000,"Isopods"
2001,"Isopods"
2002,"Isopods"
2003,"Isopods"
2004,"Isopods"
2005,"Isopods"
2006,"Isopods"
2009,"Isopods"
2010,"Isopods"
2011,"Isopods"
2013,"Isopods"
2016,"Isopods"
2017,"Isopods"
1983,"Lacuna vincta"
1985,"Lacuna vincta"
1987,"Lacuna vincta"
1991,"Lacuna vincta"
1992,"Lacuna vincta"
1993,"Lacuna vincta"
1994,"Lacuna vincta"
1995,"Lacuna vincta"
2000,"Lacuna vincta"
2001,"Lacuna vincta"
2002,"Lacuna vincta"
2003,"Lacuna vincta"
2004,"Lacuna vincta"
2005,"Lacuna vincta"
2006,"Lacuna vincta"
2009,"Lacuna vincta"
2010,"Lacuna vincta"
2012,"Lacuna vincta"
2016,"Lacuna vincta"
1982,"Leathesia marina"
1984,"Leathesia marina"
1985,"Leathesia marina"
1986,"Leathesia marina"
1987,"Leathesia marina"
1988,"Leathesia marina"
1989,"Leathesia marina"
1990,"Leathesia marina"
1991,"Leathesia marina"
1992,"Leathesia marina"
1993,"Leathesia marina"
1994,"Leathesia marina"
1995,"Leathesia marina"
1996,"Leathesia marina"
1998,"Leathesia marina"
2004,"Leathesia marina"
2006,"Leathesia marina"
2009,"Leathesia marina"
2010,"Leathesia marina"
2011,"Leathesia marina"
2013,"Leathesia marina"
2014,"Leathesia marina"
2015,"Leathesia marina"
1982,"Lepidonotus"
1983,"Lepidonotus"
1994,"Lepidonotus"
2000,"Lepidonotus"
2009,"Lepidonotus"
1984,"Lithophyllum"
1982,"Little round green things"
1983,"Little round green things"
1984,"Little round green things"
1985,"Little round green things"
1986,"Little round green things"
1992,"Little round green things"
2011,"Little round green things"
1982,"Littorina littorea"
1983,"Littorina littorea"
1984,"Littorina littorea"
1985,"Littorina littorea"
1986,"Littorina littorea"
1987,"Littorina littorea"
1988,"Littorina littorea"
1989,"Littorina littorea"
1990,"Littorina littorea"
1991,"Littorina littorea"
1992,"Littorina littorea"
1993,"Littorina littorea"
1994,"Littorina littorea"
1995,"Littorina littorea"
1996,"Littorina littorea"
1997,"Littorina littorea"
1998,"Littorina littorea"
1999,"Littorina littorea"
2000,"Littorina littorea"
2001,"Littorina littorea"
2002,"Littorina littorea"
2003,"Littorina littorea"
2004,"Littorina littorea"
2005,"Littorina littorea"
2006,"Littorina littorea"
2009,"Littorina littorea"
2010,"Littorina littorea"
2011,"Littorina littorea"
2012,"Littorina littorea"
2013,"Littorina littorea"
2014,"Littorina littorea"
2015,"Littorina littorea"
2016,"Littorina littorea"
2017,"Littorina littorea"
1982,"Littorina obtusata"
1983,"Littorina obtusata"
1984,"Littorina obtusata"
1985,"Littorina obtusata"
1986,"Littorina obtusata"
1987,"Littorina obtusata"
1988,"Littorina obtusata"
1989,"Littorina obtusata"
1990,"Littorina obtusata"
1991,"Littorina obtusata"
1992,"Littorina obtusata"
1993,"Littorina obtusata"
1994,"Littorina obtusata"
1995,"Littorina obtusata"
1996,"Littorina obtusata"
1997,"Littorina obtusata"
1998,"Littorina obtusata"
1999,"Littorina obtusata"
2000,"Littorina obtusata"
2001,"Littorina obtusata"
2002,"Littorina obtusata"
2003,"Littorina obtusata"
2004,"Littorina obtusata"
2005,"Littorina obtusata"
2006,"Littorina obtusata"
2008,"Littorina obtusata"
2009,"Littorina obtusata"
2010,"Littorina obtusata"
2011,"Littorina obtusata"
2012,"Littorina obtusata"
2013,"Littorina obtusata"
2014,"Littorina obtusata"
2015,"Littorina obtusata"
2016,"Littorina obtusata"
2017,"Littorina obtusata"
1982,"Littorina saxatilis"
1983,"Littorina saxatilis"
1984,"Littorina saxatilis"
1985,"Littorina saxatilis"
1986,"Littorina saxatilis"
1987,"Littorina saxatilis"
1988,"Littorina saxatilis"
1989,"Littorina saxatilis"
1990,"Littorina saxatilis"
1991,"Littorina saxatilis"
1992,"Littorina saxatilis"
1993,"Littorina saxatilis"
1994,"Littorina saxatilis"
1995,"Littorina saxatilis"
1996,"Littorina saxatilis"
1997,"Littorina saxatilis"
1998,"Littorina saxatilis"
1999,"Littorina saxatilis"
2000,"Littorina saxatilis"
2001,"Littorina saxatilis"
2002,"Littorina saxatilis"
2003,"Littorina saxatilis"
2004,"Littorina saxatilis"
2005,"Littorina saxatilis"
2006,"Littorina saxatilis"
2008,"Littorina saxatilis"
2009,"Littorina saxatilis"
2010,"Littorina saxatilis"
2011,"Littorina saxatilis"
2012,"Littorina saxatilis"
2013,"Littorina saxatilis"
2014,"Littorina saxatilis"
2015,"Littorina saxatilis"
2016,"Littorina saxatilis"
2017,"Littorina saxatilis"
1992,"Lycastopsis"
2006,"Lycastopsis"
1982,"Mastocarpus stellatus"
1983,"Mastocarpus stellatus"
1984,"Mastocarpus stellatus"
1985,"Mastocarpus stellatus"
1986,"Mastocarpus stellatus"
1987,"Mastocarpus stellatus"
1988,"Mastocarpus stellatus"
1989,"Mastocarpus stellatus"
1990,"Mastocarpus stellatus"
1991,"Mastocarpus stellatus"
1992,"Mastocarpus stellatus"
1993,"Mastocarpus stellatus"
1994,"Mastocarpus stellatus"
1995,"Mastocarpus stellatus"
1996,"Mastocarpus stellatus"
1997,"Mastocarpus stellatus"
1998,"Mastocarpus stellatus"
1999,"Mastocarpus stellatus"
2000,"Mastocarpus stellatus"
2001,"Mastocarpus stellatus"
2002,"Mastocarpus stellatus"
2003,"Mastocarpus stellatus"
2004,"Mastocarpus stellatus"
2005,"Mastocarpus stellatus"
2006,"Mastocarpus stellatus"
2008,"Mastocarpus stellatus"
2009,"Mastocarpus stellatus"
2010,"Mastocarpus stellatus"
2011,"Mastocarpus stellatus"
2012,"Mastocarpus stellatus"
2013,"Mastocarpus stellatus"
2014,"Mastocarpus stellatus"
2015,"Mastocarpus stellatus"
2016,"Mastocarpus stellatus"
2017,"Mastocarpus stellatus"
1998,"Membranipora membranacea"
2016,"Membranipora membranacea"
1982,"Metridium senile"
1983,"Metridium senile"
1984,"Metridium senile"
1985,"Metridium senile"
1986,"Metridium senile"
1987,"Metridium senile"
1988,"Metridium senile"
1989,"Metridium senile"
1990,"Metridium senile"
1991,"Metridium senile"
1992,"Metridium senile"
1993,"Metridium senile"
1994,"Metridium senile"
1995,"Metridium senile"
1996,"Metridium senile"
1997,"Metridium senile"
1998,"Metridium senile"
1999,"Metridium senile"
2000,"Metridium senile"
2001,"Metridium senile"
2002,"Metridium senile"
2003,"Metridium senile"
2004,"Metridium senile"
2005,"Metridium senile"
2006,"Metridium senile"
2009,"Metridium senile"
2010,"Metridium senile"
2011,"Metridium senile"
2012,"Metridium senile"
2013,"Metridium senile"
2014,"Metridium senile"
2015,"Metridium senile"
2016,"Metridium senile"
2017,"Metridium senile"
1984,"Metridium senile"
1985,"Metridium senile"
1986,"Metridium senile"
1987,"Metridium senile"
1988,"Metridium senile"
1989,"Metridium senile"
1990,"Metridium senile"
1991,"Metridium senile"
1992,"Metridium senile"
1993,"Metridium senile"
1994,"Metridium senile"
1995,"Metridium senile"
1996,"Metridium senile"
1997,"Metridium senile"
1998,"Metridium senile"
1999,"Metridium senile"
2002,"Metridium senile"
2006,"Metridium senile"
2009,"Metridium senile"
2010,"Metridium senile"
2012,"Metridium senile"
2016,"Metridium senile"
1988,"Micrura affinis"
1982,"Modiolus modiolus"
1983,"Modiolus modiolus"
1984,"Modiolus modiolus"
1985,"Modiolus modiolus"
1986,"Modiolus modiolus"
1987,"Modiolus modiolus"
1988,"Modiolus modiolus"
1989,"Modiolus modiolus"
1990,"Modiolus modiolus"
1991,"Modiolus modiolus"
1992,"Modiolus modiolus"
1993,"Modiolus modiolus"
1994,"Modiolus modiolus"
1995,"Modiolus modiolus"
1996,"Modiolus modiolus"
1997,"Modiolus modiolus"
1998,"Modiolus modiolus"
1999,"Modiolus modiolus"
2000,"Modiolus modiolus"
2001,"Modiolus modiolus"
2002,"Modiolus modiolus"
2003,"Modiolus modiolus"
2004,"Modiolus modiolus"
2006,"Modiolus modiolus"
2009,"Modiolus modiolus"
2010,"Modiolus modiolus"
2011,"Modiolus modiolus"
2012,"Modiolus modiolus"
2013,"Modiolus modiolus"
2016,"Modiolus modiolus"
2017,"Modiolus modiolus"
1982,"Modiolus modiolus"
1983,"Modiolus modiolus"
1984,"Modiolus modiolus"
1985,"Modiolus modiolus"
1986,"Modiolus modiolus"
1987,"Modiolus modiolus"
1988,"Modiolus modiolus"
1989,"Modiolus modiolus"
1990,"Modiolus modiolus"
1991,"Modiolus modiolus"
1992,"Modiolus modiolus"
1993,"Modiolus modiolus"
1994,"Modiolus modiolus"
1995,"Modiolus modiolus"
1996,"Modiolus modiolus"
1997,"Modiolus modiolus"
1998,"Modiolus modiolus"
1999,"Modiolus modiolus"
2000,"Modiolus modiolus"
2001,"Modiolus modiolus"
2002,"Modiolus modiolus"
2003,"Modiolus modiolus"
2004,"Modiolus modiolus"
2005,"Modiolus modiolus"
2006,"Modiolus modiolus"
2009,"Modiolus modiolus"
2010,"Modiolus modiolus"
2011,"Modiolus modiolus"
2012,"Modiolus modiolus"
2014,"Modiolus modiolus"
2015,"Modiolus modiolus"
2016,"Modiolus modiolus"
1983,"Molgula"
2006,"Molgula"
1986,"Monostroma"
1987,"Monostroma"
1988,"Monostroma"
1992,"Monostroma"
1998,"Monostroma"
2006,"Monostroma"
1986,"Mussel"
1992,"Mussel"
1982,"Mya arenaria"
1992,"Mya arenaria"
1982,"Mytilus edulis"
1983,"Mytilus edulis"
1984,"Mytilus edulis"
1985,"Mytilus edulis"
1986,"Mytilus edulis"
1987,"Mytilus edulis"
1988,"Mytilus edulis"
1989,"Mytilus edulis"
1990,"Mytilus edulis"
1991,"Mytilus edulis"
1992,"Mytilus edulis"
1993,"Mytilus edulis"
1994,"Mytilus edulis"
1995,"Mytilus edulis"
1996,"Mytilus edulis"
1997,"Mytilus edulis"
1998,"Mytilus edulis"
1999,"Mytilus edulis"
2000,"Mytilus edulis"
2001,"Mytilus edulis"
2002,"Mytilus edulis"
2003,"Mytilus edulis"
2004,"Mytilus edulis"
2005,"Mytilus edulis"
2006,"Mytilus edulis"
2008,"Mytilus edulis"
2009,"Mytilus edulis"
2010,"Mytilus edulis"
2011,"Mytilus edulis"
2012,"Mytilus edulis"
2016,"Mytilus edulis"
2017,"Mytilus edulis"
1982,"Mytilus edulis"
1983,"Mytilus edulis"
1984,"Mytilus edulis"
1985,"Mytilus edulis"
1986,"Mytilus edulis"
1987,"Mytilus edulis"
1988,"Mytilus edulis"
1989,"Mytilus edulis"
1990,"Mytilus edulis"
1991,"Mytilus edulis"
1992,"Mytilus edulis"
1993,"Mytilus edulis"
1994,"Mytilus edulis"
1995,"Mytilus edulis"
1996,"Mytilus edulis"
1997,"Mytilus edulis"
1998,"Mytilus edulis"
1999,"Mytilus edulis"
2000,"Mytilus edulis"
2001,"Mytilus edulis"
2002,"Mytilus edulis"
2003,"Mytilus edulis"
2004,"Mytilus edulis"
2005,"Mytilus edulis"
2006,"Mytilus edulis"
2008,"Mytilus edulis"
2009,"Mytilus edulis"
2010,"Mytilus edulis"
2011,"Mytilus edulis"
2012,"Mytilus edulis"
2014,"Mytilus edulis"
2015,"Mytilus edulis"
2016,"Mytilus edulis"
2017,"Mytilus edulis"
1995,"Nemalion helminthoides"
1982,"Nematodes"
1983,"Nematodes"
1984,"Nematodes"
1985,"Nematodes"
1986,"Nematodes"
1987,"Nematodes"
1988,"Nematodes"
1990,"Nematodes"
1991,"Nematodes"
1992,"Nematodes"
1993,"Nematodes"
1994,"Nematodes"
1995,"Nematodes"
1997,"Nematodes"
1998,"Nematodes"
1999,"Nematodes"
2000,"Nematodes"
2001,"Nematodes"
2002,"Nematodes"
2003,"Nematodes"
2005,"Nematodes"
2006,"Nematodes"
2009,"Nematodes"
2012,"Nematodes"
1982,"Nemertean"
1983,"Nemertean"
1984,"Nemertean"
1985,"Nemertean"
1986,"Nemertean"
1987,"Nemertean"
1988,"Nemertean"
1990,"Nemertean"
1992,"Nemertean"
1993,"Nemertean"
1994,"Nemertean"
1995,"Nemertean"
1996,"Nemertean"
1997,"Nemertean"
1999,"Nemertean"
2000,"Nemertean"
2001,"Nemertean"
2004,"Nemertean"
2006,"Nemertean"
2009,"Nemertean"
2011,"Nemertean"
2012,"Nemertean"
1982,"Nicolea"
1982,"Notoplana"
1982,"Nucella lapillus"
1983,"Nucella lapillus"
1984,"Nucella lapillus"
1985,"Nucella lapillus"
1986,"Nucella lapillus"
1987,"Nucella lapillus"
1988,"Nucella lapillus"
1989,"Nucella lapillus"
1990,"Nucella lapillus"
1991,"Nucella lapillus"
1992,"Nucella lapillus"
1993,"Nucella lapillus"
1994,"Nucella lapillus"
1995,"Nucella lapillus"
1996,"Nucella lapillus"
1997,"Nucella lapillus"
1998,"Nucella lapillus"
1999,"Nucella lapillus"
2000,"Nucella lapillus"
2001,"Nucella lapillus"
2002,"Nucella lapillus"
2003,"Nucella lapillus"
2004,"Nucella lapillus"
2005,"Nucella lapillus"
2006,"Nucella lapillus"
2008,"Nucella lapillus"
2009,"Nucella lapillus"
2010,"Nucella lapillus"
2011,"Nucella lapillus"
2012,"Nucella lapillus"
2013,"Nucella lapillus"
2014,"Nucella lapillus"
2015,"Nucella lapillus"
2016,"Nucella lapillus"
2017,"Nucella lapillus"
1982,"Nudibranchia"
1985,"Nudibranchia"
1988,"Nudibranchia"
1990,"Nudibranchia"
1992,"Nudibranchia"
1993,"Nudibranchia"
1994,"Nudibranchia"
1998,"Nudibranchia"
1982,"Oligochaete"
1983,"Oligochaete"
1986,"Oligochaete"
1988,"Oligochaete"
1992,"Oligochaete"
1993,"Oligochaete"
1983,"Onchidoris"
1982,"Ophiopholis"
1983,"Ophiopholis"
1987,"Ophiopholis"
1989,"Ophiopholis"
1991,"Ophiopholis"
1992,"Ophiopholis"
1994,"Ophiopholis"
1995,"Ophiopholis"
1998,"Ophiopholis"
2000,"Ophiopholis"
2004,"Ophiopholis"
2010,"Ophiopholis"
2014,"Ostrea edulis"
1982,"Pagurus acadianus"
1983,"Pagurus acadianus"
1986,"Pagurus acadianus"
1988,"Pagurus acadianus"
1995,"Pagurus acadianus"
2004,"Pagurus acadianus"
2010,"Pagurus acadianus"
2011,"Pagurus acadianus"
2015,"Pagurus acadianus"
1983,"Palmaria palmata"
1989,"Palmaria palmata"
1990,"Palmaria palmata"
1991,"Palmaria palmata"
1992,"Palmaria palmata"
1994,"Petalonia fascia"
1995,"Petalonia fascia"
2009,"Petalonia fascia"
1982,"Phymatolithon lenormandii"
1983,"Phymatolithon lenormandii"
1984,"Phymatolithon lenormandii"
1985,"Phymatolithon lenormandii"
1986,"Phymatolithon lenormandii"
1987,"Phymatolithon lenormandii"
1992,"Phymatolithon lenormandii"
1998,"Phymatolithon lenormandii"
2000,"Phymatolithon lenormandii"
2001,"Phymatolithon lenormandii"
2002,"Phymatolithon lenormandii"
2003,"Phymatolithon lenormandii"
2005,"Phymatolithon lenormandii"
2006,"Phymatolithon lenormandii"
2009,"Phymatolithon lenormandii"
2010,"Phymatolithon lenormandii"
2011,"Phymatolithon lenormandii"
2012,"Phymatolithon lenormandii"
2013,"Phymatolithon lenormandii"
2014,"Phymatolithon lenormandii"
2015,"Phymatolithon lenormandii"
2016,"Phymatolithon lenormandii"
2017,"Phymatolithon lenormandii"
1982,"platyhelminthes"
1983,"platyhelminthes"
1987,"platyhelminthes"
1988,"platyhelminthes"
1990,"platyhelminthes"
1993,"platyhelminthes"
1998,"platyhelminthes"
2005,"platyhelminthes"
2006,"platyhelminthes"
1983,"Plumaria plumosa"
1985,"Plumaria plumosa"
1986,"Plumaria plumosa"
1988,"Plumaria plumosa"
1991,"Plumaria plumosa"
1992,"Plumaria plumosa"
1993,"Plumaria plumosa"
1998,"Plumaria plumosa"
2006,"Plumaria plumosa"
2011,"Plumaria plumosa"
1982,"Polychaeta"
1983,"Polychaeta"
1984,"Polychaeta"
1985,"Polychaeta"
1987,"Polychaeta"
1988,"Polychaeta"
1990,"Polychaeta"
1991,"Polychaeta"
1992,"Polychaeta"
1993,"Polychaeta"
1994,"Polychaeta"
1995,"Polychaeta"
1996,"Polychaeta"
1997,"Polychaeta"
1998,"Polychaeta"
1999,"Polychaeta"
2000,"Polychaeta"
2006,"Polychaeta"
2010,"Polychaeta"
1982,"Polysiphonia"
1983,"Polysiphonia"
1984,"Polysiphonia"
1985,"Polysiphonia"
1986,"Polysiphonia"
1987,"Polysiphonia"
1988,"Polysiphonia"
1989,"Polysiphonia"
1990,"Polysiphonia"
1991,"Polysiphonia"
1992,"Polysiphonia"
1993,"Polysiphonia"
1994,"Polysiphonia"
1995,"Polysiphonia"
1996,"Polysiphonia"
1998,"Polysiphonia"
2004,"Polysiphonia"
2006,"Polysiphonia"
2009,"Polysiphonia"
2011,"Polysiphonia"
2012,"Polysiphonia"
2013,"Polysiphonia"
2014,"Polysiphonia"
2015,"Polysiphonia"
2016,"Polysiphonia"
1982,"Porphyra"
1983,"Porphyra"
1984,"Porphyra"
1985,"Porphyra"
1986,"Porphyra"
1987,"Porphyra"
1988,"Porphyra"
1989,"Porphyra"
1990,"Porphyra"
1991,"Porphyra"
1992,"Porphyra"
1993,"Porphyra"
1994,"Porphyra"
1995,"Porphyra"
1996,"Porphyra"
1997,"Porphyra"
1998,"Porphyra"
2000,"Porphyra"
2003,"Porphyra"
2009,"Porphyra"
2011,"Porphyra"
2012,"Porphyra"
2014,"Porphyra"
2017,"Porphyra"
1982,"Prasiola stipitata"
1983,"Prasiola stipitata"
1984,"Prasiola stipitata"
1985,"Prasiola stipitata"
1986,"Prasiola stipitata"
1987,"Prasiola stipitata"
1988,"Prasiola stipitata"
1989,"Prasiola stipitata"
1990,"Prasiola stipitata"
1991,"Prasiola stipitata"
1992,"Prasiola stipitata"
1993,"Prasiola stipitata"
1994,"Prasiola stipitata"
1995,"Prasiola stipitata"
1996,"Prasiola stipitata"
1997,"Prasiola stipitata"
1998,"Prasiola stipitata"
1999,"Prasiola stipitata"
2000,"Prasiola stipitata"
2001,"Prasiola stipitata"
2002,"Prasiola stipitata"
2004,"Prasiola stipitata"
2005,"Prasiola stipitata"
2006,"Prasiola stipitata"
2009,"Prasiola stipitata"
2010,"Prasiola stipitata"
2011,"Prasiola stipitata"
2012,"Prasiola stipitata"
2014,"Prasiola stipitata"
2015,"Prasiola stipitata"
2016,"Prasiola stipitata"
1982,"Praunus"
2010,"Protectocarpus speciosus"
1986,"Ptilota serrata"
1991,"Ptilota serrata"
1995,"Ptilota serrata"
1984,"Pylaiella littoralis"
1986,"Pylaiella littoralis"
1991,"Pylaiella littoralis"
1993,"Pylaiella littoralis"
1994,"Pylaiella littoralis"
1995,"Pylaiella littoralis"
2004,"Pylaiella littoralis"
1982,"Ralfsia"
1983,"Ralfsia"
1984,"Ralfsia"
1985,"Ralfsia"
1986,"Ralfsia"
1987,"Ralfsia"
1988,"Ralfsia"
1989,"Ralfsia"
1990,"Ralfsia"
1991,"Ralfsia"
1992,"Ralfsia"
1993,"Ralfsia"
1994,"Ralfsia"
1995,"Ralfsia"
1996,"Ralfsia"
1998,"Ralfsia"
1999,"Ralfsia"
2000,"Ralfsia"
2001,"Ralfsia"
2002,"Ralfsia"
2003,"Ralfsia"
2005,"Ralfsia"
2006,"Ralfsia"
2011,"Ralfsia"
2013,"Red lichen"
1984,"Rhizoclonium tortuosum"
1985,"Rhizoclonium tortuosum"
1986,"Rhizoclonium tortuosum"
1987,"Rhizoclonium tortuosum"
1988,"Rhizoclonium tortuosum"
1989,"Rhizoclonium tortuosum"
1990,"Rhizoclonium tortuosum"
1991,"Rhizoclonium tortuosum"
1992,"Rhizoclonium tortuosum"
1993,"Rhizoclonium tortuosum"
1994,"Rhizoclonium tortuosum"
1995,"Rhizoclonium tortuosum"
1996,"Rhizoclonium tortuosum"
1997,"Rhizoclonium tortuosum"
1998,"Rhizoclonium tortuosum"
2004,"Rhizoclonium tortuosum"
2006,"Rhizoclonium tortuosum"
2010,"Rhizoclonium tortuosum"
2011,"Rhizoclonium tortuosum"
2012,"Rhizoclonium tortuosum"
2013,"Rhizoclonium tortuosum"
2014,"Rhizoclonium tortuosum"
2015,"Rhizoclonium tortuosum"
2016,"Rhizoclonium tortuosum"
1982,"sabellid"
1982,"Saccharina latissima"
1983,"Saccharina latissima"
1984,"Saccharina latissima"
1985,"Saccharina latissima"
1986,"Saccharina latissima"
1987,"Saccharina latissima"
1988,"Saccharina latissima"
1989,"Saccharina latissima"
1990,"Saccharina latissima"
1991,"Saccharina latissima"
1992,"Saccharina latissima"
1994,"Saccharina latissima"
2000,"Saccharina latissima"
2006,"Saccharina latissima"
1992,"Saccorhiza dermatodea"
1996,"Schizoporella unicornis"
2001,"Schizoporella unicornis"
2012,"Schizoporella unicornis"
2013,"Schizoporella unicornis"
2014,"Schizoporella unicornis"
1985,"Scytosiphon lomentaria"
1992,"Scytosiphon lomentaria"
1997,"Scytosiphon lomentaria"
1998,"Scytosiphon lomentaria"
2002,"Scytosiphon lomentaria"
2004,"Scytosiphon lomentaria"
1982,"Semibalanus balanoides"
1983,"Semibalanus balanoides"
1984,"Semibalanus balanoides"
1985,"Semibalanus balanoides"
1986,"Semibalanus balanoides"
1987,"Semibalanus balanoides"
1988,"Semibalanus balanoides"
1989,"Semibalanus balanoides"
1990,"Semibalanus balanoides"
1991,"Semibalanus balanoides"
1992,"Semibalanus balanoides"
1993,"Semibalanus balanoides"
1994,"Semibalanus balanoides"
1995,"Semibalanus balanoides"
1996,"Semibalanus balanoides"
1997,"Semibalanus balanoides"
1998,"Semibalanus balanoides"
1999,"Semibalanus balanoides"
2000,"Semibalanus balanoides"
2001,"Semibalanus balanoides"
2002,"Semibalanus balanoides"
2003,"Semibalanus balanoides"
2004,"Semibalanus balanoides"
2005,"Semibalanus balanoides"
2006,"Semibalanus balanoides"
2008,"Semibalanus balanoides"
2009,"Semibalanus balanoides"
2010,"Semibalanus balanoides"
2011,"Semibalanus balanoides"
2012,"Semibalanus balanoides"
2013,"Semibalanus balanoides"
2016,"Semibalanus balanoides"
2017,"Semibalanus balanoides"
1982,"Semibalanus balanoides"
1983,"Semibalanus balanoides"
1984,"Semibalanus balanoides"
1985,"Semibalanus balanoides"
1986,"Semibalanus balanoides"
1987,"Semibalanus balanoides"
1988,"Semibalanus balanoides"
1989,"Semibalanus balanoides"
1990,"Semibalanus balanoides"
1991,"Semibalanus balanoides"
1992,"Semibalanus balanoides"
1993,"Semibalanus balanoides"
1994,"Semibalanus balanoides"
1995,"Semibalanus balanoides"
1996,"Semibalanus balanoides"
1997,"Semibalanus balanoides"
1998,"Semibalanus balanoides"
1999,"Semibalanus balanoides"
2000,"Semibalanus balanoides"
2001,"Semibalanus balanoides"
2002,"Semibalanus balanoides"
2003,"Semibalanus balanoides"
2004,"Semibalanus balanoides"
2005,"Semibalanus balanoides"
2006,"Semibalanus balanoides"
2008,"Semibalanus balanoides"
2009,"Semibalanus balanoides"
2010,"Semibalanus balanoides"
2011,"Semibalanus balanoides"
2012,"Semibalanus balanoides"
2013,"Semibalanus balanoides"
2014,"Semibalanus balanoides"
2015,"Semibalanus balanoides"
2016,"Semibalanus balanoides"
2017,"Semibalanus balanoides"
1985,"Shell hash"
1986,"Shell hash"
1987,"Shell hash"
1989,"Shell hash"
1990,"Shell hash"
1991,"Shell hash"
1992,"Shell hash"
1993,"Shell hash"
1994,"Shell hash"
1995,"Shell hash"
1996,"Shell hash"
1997,"Shell hash"
1998,"Shell hash"
1999,"Shell hash"
2000,"Shell hash"
2001,"Shell hash"
2002,"Shell hash"
2003,"Shell hash"
2004,"Shell hash"
2005,"Shell hash"
2006,"Shell hash"
2008,"Shell hash"
2009,"Shell hash"
2010,"Shell hash"
2011,"Shell hash"
2012,"Shell hash"
2013,"Shell hash"
2014,"Shell hash"
2015,"Shell hash"
2016,"Shell hash"
2017,"Shell hash"
1983,"Skeneopsis planorbis"
1988,"Sphacelaria"
1993,"Sphacelaria"
2014,"Sphacelaria"
1983,"Sphacelaria cirrosa"
2011,"Sphacelaria cirrosa"
2013,"Sphacelaria cirrosa"
2016,"Sphacelaria cirrosa"
1982,"Spirorbis"
1983,"Spirorbis"
1984,"Spirorbis"
1985,"Spirorbis"
1986,"Spirorbis"
1987,"Spirorbis"
1988,"Spirorbis"
1989,"Spirorbis"
1990,"Spirorbis"
1991,"Spirorbis"
1992,"Spirorbis"
1993,"Spirorbis"
1994,"Spirorbis"
1995,"Spirorbis"
1996,"Spirorbis"
1997,"Spirorbis"
1998,"Spirorbis"
1999,"Spirorbis"
2000,"Spirorbis"
2001,"Spirorbis"
2003,"Spirorbis"
2005,"Spirorbis"
2006,"Spirorbis"
2009,"Spirorbis"
2010,"Spirorbis"
2012,"Spirorbis"
2015,"Spirorbis"
2010,"Spirorbis"
1984,"Spongomorpha aeruginosa"
1987,"Spongomorpha aeruginosa"
1990,"Spongomorpha aeruginosa"
2003,"Spongomorpha aeruginosa"
1982,"Strongylocentrotus droebachiensis"
1983,"Strongylocentrotus droebachiensis"
1984,"Strongylocentrotus droebachiensis"
1985,"Strongylocentrotus droebachiensis"
1986,"Strongylocentrotus droebachiensis"
1987,"Strongylocentrotus droebachiensis"
1988,"Strongylocentrotus droebachiensis"
1989,"Strongylocentrotus droebachiensis"
1990,"Strongylocentrotus droebachiensis"
1991,"Strongylocentrotus droebachiensis"
1992,"Strongylocentrotus droebachiensis"
1993,"Strongylocentrotus droebachiensis"
1994,"Strongylocentrotus droebachiensis"
1995,"Strongylocentrotus droebachiensis"
1996,"Strongylocentrotus droebachiensis"
1997,"Strongylocentrotus droebachiensis"
1998,"Strongylocentrotus droebachiensis"
1999,"Strongylocentrotus droebachiensis"
2000,"Strongylocentrotus droebachiensis"
2001,"Strongylocentrotus droebachiensis"
2002,"Strongylocentrotus droebachiensis"
2003,"Strongylocentrotus droebachiensis"
2004,"Strongylocentrotus droebachiensis"
2005,"Strongylocentrotus droebachiensis"
2006,"Strongylocentrotus droebachiensis"
2009,"Strongylocentrotus droebachiensis"
2010,"Strongylocentrotus droebachiensis"
2013,"Strongylocentrotus droebachiensis"
2015,"Strongylocentrotus droebachiensis"
2016,"Strongylocentrotus droebachiensis"
2017,"Strongylocentrotus droebachiensis"
2013,"Tectura testinalis"
2014,"Tectura testinalis"
1982,"Tectura testudinalis"
1983,"Tectura testudinalis"
1984,"Tectura testudinalis"
1985,"Tectura testudinalis"
1986,"Tectura testudinalis"
1987,"Tectura testudinalis"
1988,"Tectura testudinalis"
1989,"Tectura testudinalis"
1990,"Tectura testudinalis"
1991,"Tectura testudinalis"
1992,"Tectura testudinalis"
1993,"Tectura testudinalis"
1994,"Tectura testudinalis"
1995,"Tectura testudinalis"
1996,"Tectura testudinalis"
1998,"Tectura testudinalis"
1999,"Tectura testudinalis"
2000,"Tectura testudinalis"
2001,"Tectura testudinalis"
2002,"Tectura testudinalis"
2003,"Tectura testudinalis"
2004,"Tectura testudinalis"
2005,"Tectura testudinalis"
2006,"Tectura testudinalis"
2009,"Tectura testudinalis"
2010,"Tectura testudinalis"
2012,"Tectura testudinalis"
2013,"Tectura testudinalis"
2016,"Tectura testudinalis"
2017,"Tectura testudinalis"
1983,"Thelepus cincinnatus"
1982,"Tonicella rubra"
1985,"Tonicella rubra"
1993,"Tonicella rubra"
1994,"Tonicella rubra"
1998,"Tonicella rubra"
2000,"Tonicella rubra"
1983,"Turbellarid"
1998,"Turbellarid"
1982,"Ulva intestinalis"
1983,"Ulva intestinalis"
1984,"Ulva intestinalis"
1985,"Ulva intestinalis"
1986,"Ulva intestinalis"
1987,"Ulva intestinalis"
1988,"Ulva intestinalis"
1989,"Ulva intestinalis"
1990,"Ulva intestinalis"
1991,"Ulva intestinalis"
1992,"Ulva intestinalis"
