"year","name"
2003,"Asterias rubens"
2004,"Asterias rubens"
2005,"Asterias rubens"
2006,"Asterias rubens"
2009,"Asterias rubens"
2010,"Asterias rubens"
2014,"Astyris lunata"
2016,"Astyris lunata"
1984,"Audouinella"
1994,"Audouinella"
1993,"Bangia atropurpurea"
1984,"Bare rock"
1985,"Bare rock"
1986,"Bare rock"
1987,"Bare rock"
1988,"Bare rock"
1989,"Bare rock"
1990,"Bare rock"
1991,"Bare rock"
1992,"Bare rock"
1993,"Bare rock"
1994,"Bare rock"
1995,"Bare rock"
1996,"Bare rock"
1997,"Bare rock"
1998,"Bare rock"
1999,"Bare rock"
2000,"Bare rock"
2001,"Bare rock"
2002,"Bare rock"
2003,"Bare rock"
2004,"Bare rock"
2005,"Bare rock"
2006,"Bare rock"
2008,"Bare rock"
2009,"Bare rock"
2010,"Bare rock"
2011,"Bare rock"
2012,"Bare rock"
2013,"Bare rock"
2014,"Bare rock"
2015,"Bare rock"
2016,"Bare rock"
2017,"Bare rock"
1982,"Black zone"
1983,"Black zone"
1984,"Black zone"
1985,"Black zone"
1986,"Black zone"
1987,"Black zone"
1988,"Black zone"
1989,"Black zone"
1990,"Black zone"
1991,"Black zone"
1992,"Black zone"
1993,"Black zone"
1994,"Black zone"
1995,"Black zone"
1996,"Black zone"
1997,"Black zone"
1998,"Black zone"
1999,"Black zone"
2000,"Black zone"
2001,"Black zone"
2002,"Black zone"
2003,"Black zone"
2004,"Black zone"
2005,"Black zone"
2006,"Black zone"
2011,"Black zone"
2012,"Black zone"
2014,"Black zone"
2015,"Black zone"
2016,"Black zone"
2017,"Black zone"
1987,"Bonnemaisonia hamifera"
1995,"Bonnemaisonia hamifera"
1997,"Bonnemaisonia hamifera"
2010,"Bonnemaisonia hamifera"
1998,"Botrylloides violaceus"
2010,"Botrylloides violaceus"
2017,"Botrylloides violaceus"
1998,"Botryllus schlosseri"
2006,"Brown ground"
1984,"Brown lichen"
2010,"Bugula neritina"
1982,"Callophyllis"
1982,"Cancer"
1982,"Cancer borealis"
1986,"Cancer borealis"
1987,"Cancer borealis"
1992,"Cancer borealis"
1998,"Cancer borealis"
2000,"Cancer borealis"
2004,"Cancer borealis"
2011,"Cancer borealis"
2016,"Cancer borealis"
1982,"Cancer irroratus"
1985,"Cancer irroratus"
1987,"Cancer irroratus"
1998,"Cancer irroratus"
2000,"Cancer irroratus"
2005,"Cancer irroratus"
1982,"Carcinus maenus"
1983,"Carcinus maenus"
1984,"Carcinus maenus"
1985,"Carcinus maenus"
1986,"Carcinus maenus"
1987,"Carcinus maenus"
1988,"Carcinus maenus"
1989,"Carcinus maenus"
1990,"Carcinus maenus"
1991,"Carcinus maenus"
1992,"Carcinus maenus"
1993,"Carcinus maenus"
1994,"Carcinus maenus"
1995,"Carcinus maenus"
1996,"Carcinus maenus"
1997,"Carcinus maenus"
1998,"Carcinus maenus"
1999,"Carcinus maenus"
2000,"Carcinus maenus"
2001,"Carcinus maenus"
2002,"Carcinus maenus"
2003,"Carcinus maenus"
2004,"Carcinus maenus"
2005,"Carcinus maenus"
2006,"Carcinus maenus"
2009,"Carcinus maenus"
2010,"Carcinus maenus"
2011,"Carcinus maenus"
2012,"Carcinus maenus"
2013,"Carcinus maenus"
2014,"Carcinus maenus"
2015,"Carcinus maenus"
2016,"Carcinus maenus"
2017,"Carcinus maenus"
1982,"Ceramium virgatum"
1983,"Ceramium virgatum"
1984,"Ceramium virgatum"
1985,"Ceramium virgatum"
1986,"Ceramium virgatum"
1987,"Ceramium virgatum"
1988,"Ceramium virgatum"
1989,"Ceramium virgatum"
1990,"Ceramium virgatum"
1991,"Ceramium virgatum"
1992,"Ceramium virgatum"
1993,"Ceramium virgatum"
1994,"Ceramium virgatum"
1995,"Ceramium virgatum"
1996,"Ceramium virgatum"
1997,"Ceramium virgatum"
1998,"Ceramium virgatum"
2000,"Ceramium virgatum"
2001,"Ceramium virgatum"
2002,"Ceramium virgatum"
2003,"Ceramium virgatum"
2004,"Ceramium virgatum"
2005,"Ceramium virgatum"
2006,"Ceramium virgatum"
2008,"Ceramium virgatum"
2009,"Ceramium virgatum"
2010,"Ceramium virgatum"
2011,"Ceramium virgatum"
2012,"Ceramium virgatum"
2013,"Ceramium virgatum"
2014,"Ceramium virgatum"
2015,"Ceramium virgatum"
2016,"Ceramium virgatum"
2017,"Ceramium virgatum"
1995,"Cerianthus"
1983,"Chaetomorpha"
1985,"Chaetomorpha"
1986,"Chaetomorpha"
1988,"Chaetomorpha"
1989,"Chaetomorpha"
1990,"Chaetomorpha"
1992,"Chaetomorpha"
1993,"Chaetomorpha"
1994,"Chaetomorpha"
1995,"Chaetomorpha"
1996,"Chaetomorpha"
2006,"Chaetomorpha"
2010,"Chaetomorpha"
2014,"Chaetomorpha"
2015,"Chaetomorpha"
1982,"Chondrus crispus"
1983,"Chondrus crispus"
1984,"Chondrus crispus"
1985,"Chondrus crispus"
1986,"Chondrus crispus"
1987,"Chondrus crispus"
1988,"Chondrus crispus"
1989,"Chondrus crispus"
1990,"Chondrus crispus"
1991,"Chondrus crispus"
1992,"Chondrus crispus"
1993,"Chondrus crispus"
1994,"Chondrus crispus"
1995,"Chondrus crispus"
1996,"Chondrus crispus"
1997,"Chondrus crispus"
1998,"Chondrus crispus"
1999,"Chondrus crispus"
2000,"Chondrus crispus"
2001,"Chondrus crispus"
2002,"Chondrus crispus"
2003,"Chondrus crispus"
2004,"Chondrus crispus"
2005,"Chondrus crispus"
2006,"Chondrus crispus"
2008,"Chondrus crispus"
2009,"Chondrus crispus"
2010,"Chondrus crispus"
2011,"Chondrus crispus"
2012,"Chondrus crispus"
2013,"Chondrus crispus"
2014,"Chondrus crispus"
2015,"Chondrus crispus"
2016,"Chondrus crispus"
2017,"Chondrus crispus"
1982,"Chorda filum"
1992,"Chorda filum"
2012,"Chorda filum"
1982,"Chordaria flagelliformis"
1987,"Chordaria flagelliformis"
1988,"Chordaria flagelliformis"
1990,"Chordaria flagelliformis"
1991,"Chordaria flagelliformis"
1992,"Chordaria flagelliformis"
1993,"Chordaria flagelliformis"
1994,"Chordaria flagelliformis"
1996,"Chordaria flagelliformis"
1998,"Chordaria flagelliformis"
2003,"Chordaria flagelliformis"
2006,"Chordaria flagelliformis"
2009,"Chordaria flagelliformis"
2015,"Chordaria flagelliformis"
1982,"Cirratulus"
1983,"Cladophora"
1984,"Cladophora"
1985,"Cladophora"
1986,"Cladophora"
1988,"Cladophora"
1990,"Cladophora"
1991,"Cladophora"
1992,"Cladophora"
1993,"Cladophora"
1994,"Cladophora"
1995,"Cladophora"
1996,"Cladophora"
1998,"Cladophora"
2000,"Cladophora"
2010,"Cladophora"
2011,"Cladophora"
2012,"Cladophora"
2014,"Cladophora"
2015,"Cladophora"
2016,"Cladostephus spongiosus"
1982,"Clathromorphum circumscriptum"
1988,"Clathromorphum circumscriptum"
1990,"Clathromorphum circumscriptum"
1991,"Clathromorphum circumscriptum"
1992,"Clathromorphum circumscriptum"
1993,"Clathromorphum circumscriptum"
1994,"Clathromorphum circumscriptum"
1998,"Clathromorphum circumscriptum"
2000,"Clathromorphum circumscriptum"
2001,"Clathromorphum circumscriptum"
2002,"Clathromorphum circumscriptum"
2005,"Clathromorphum circumscriptum"
2006,"Clathromorphum circumscriptum"
2009,"Clathromorphum circumscriptum"
2010,"Clathromorphum circumscriptum"
2013,"Clathromorphum circumscriptum"
1988,"Codium fragile"
1989,"Codium fragile"
1990,"Codium fragile"
1991,"Codium fragile"
1992,"Codium fragile"
1993,"Codium fragile"
1994,"Codium fragile"
1995,"Codium fragile"
1996,"Codium fragile"
1998,"Codium fragile"
1999,"Codium fragile"
2000,"Codium fragile"
2002,"Codium fragile"
2003,"Codium fragile"
2004,"Codium fragile"
2005,"Codium fragile"
2006,"Codium fragile"
2009,"Codium fragile"
2010,"Codium fragile"
2011,"Codium fragile"
2013,"Codium fragile"
2014,"Codium fragile"
2015,"Codium fragile"
2012,"Colpomenia peregrina"
2013,"Colpomenia peregrina"
2014,"Colpomenia peregrina"
2015,"Colpomenia peregrina"
2016,"Colpomenia peregrina"
1984,"Colus stimpsoni"
1993,"copepods"
1982,"Corallina officinalis"
1983,"Corallina officinalis"
1984,"Corallina officinalis"
1985,"Corallina officinalis"
1986,"Corallina officinalis"
1987,"Corallina officinalis"
1988,"Corallina officinalis"
1989,"Corallina officinalis"
1990,"Corallina officinalis"
1991,"Corallina officinalis"
1992,"Corallina officinalis"
1993,"Corallina officinalis"
1994,"Corallina officinalis"
1995,"Corallina officinalis"
1996,"Corallina officinalis"
1997,"Corallina officinalis"
1998,"Corallina officinalis"
1999,"Corallina officinalis"
2000,"Corallina officinalis"
2001,"Corallina officinalis"
2002,"Corallina officinalis"
2003,"Corallina officinalis"
2004,"Corallina officinalis"
2005,"Corallina officinalis"
2006,"Corallina officinalis"
2009,"Corallina officinalis"
2010,"Corallina officinalis"
2011,"Corallina officinalis"
2012,"Corallina officinalis"
2013,"Corallina officinalis"
2014,"Corallina officinalis"
2015,"Corallina officinalis"
2016,"Corallina officinalis"
2017,"Corallina officinalis"
1982,"Coralline"
1983,"Coralline"
1984,"Coralline"
1985,"Coralline"
1986,"Coralline"
1987,"Coralline"
1988,"Coralline"
1989,"Coralline"
1990,"Coralline"
1991,"Coralline"
1992,"Coralline"
1993,"Coralline"
1994,"Coralline"
1995,"Coralline"
1996,"Coralline"
1997,"Coralline"
1998,"Coralline"
1999,"Coralline"
2000,"Coralline"
2001,"Coralline"
2002,"Coralline"
2003,"Coralline"
2004,"Coralline"
2005,"Coralline"
2006,"Coralline"
2010,"Coralline"
2011,"Coralline"
2012,"Coralline"
2014,"Coralline"
2015,"Coralline"
2016,"Coralline"
2017,"Coralline"
1982,"Coryphella"
1983,"Crepidula fornicata"
1990,"Crepidula fornicata"
1997,"Crepidula fornicata"
1998,"Crepidula fornicata"
2001,"Crepidula fornicata"
2004,"Crepidula fornicata"
2009,"Crepidula fornicata"
2014,"Crepidula fornicata"
2016,"Crepidula fornicata"
2017,"Crepidula fornicata"
1982,"Crisia eburna"
1982,"Cryptosula pallasiana"
1983,"Cryptosula pallasiana"
1984,"Cryptosula pallasiana"
1985,"Cryptosula pallasiana"
1987,"Cryptosula pallasiana"
1988,"Cryptosula pallasiana"
1989,"Cryptosula pallasiana"
1991,"Cryptosula pallasiana"
1993,"Cryptosula pallasiana"
1995,"Cryptosula pallasiana"
1996,"Cryptosula pallasiana"
1997,"Cryptosula pallasiana"
1998,"Cryptosula pallasiana"
1999,"Cryptosula pallasiana"
2000,"Cryptosula pallasiana"
2001,"Cryptosula pallasiana"
2002,"Cryptosula pallasiana"
2003,"Cryptosula pallasiana"
2004,"Cryptosula pallasiana"
2010,"Cryptosula pallasiana"
2012,"Cryptosula pallasiana"
2013,"Cryptosula pallasiana"
2014,"Cryptosula pallasiana"
2016,"Cryptosula pallasiana"
2017,"Cryptosula pallasiana"
1982,"Culicoides"
1982,"Cyanobacteria"
1983,"Cyanobacteria"
1984,"Cyanobacteria"
1985,"Cyanobacteria"
1986,"Cyanobacteria"
1987,"Cyanobacteria"
1988,"Cyanobacteria"
1989,"Cyanobacteria"
1990,"Cyanobacteria"
1991,"Cyanobacteria"
1992,"Cyanobacteria"
1993,"Cyanobacteria"
1994,"Cyanobacteria"
1995,"Cyanobacteria"
1996,"Cyanobacteria"
1998,"Cyanobacteria"
1999,"Cyanobacteria"
2008,"Cyanobacteria"
2009,"Cyanobacteria"
2010,"Cyanobacteria"
2011,"Cyanobacteria"
2012,"Cyanobacteria"
2013,"Cyanobacteria"
1982,"Cystoclonium purpureum"
1986,"Cystoclonium purpureum"
1988,"Cystoclonium purpureum"
1989,"Cystoclonium purpureum"
2006,"Cystoclonium purpureum"
1982,"Dendrodoa"
1992,"Dendronotus"
1994,"Devaleraea ramentacea"
1994,"Diadumene lineata"
1997,"Diadumene lineata"
2009,"Diadumene lineata"
2010,"Diadumene lineata"
2012,"Diadumene lineata"
2014,"Diadumene lineata"
2015,"Diadumene lineata"
2016,"Diadumene lineata"
2017,"Diadumene lineata"
1997,"Diadumene lineata"
2010,"Diadumene lineata"
2016,"Diadumene lineata"
1985,"Diatom"
2006,"Diatom"
2009,"Didemnum vexillum"
2012,"Didemnum vexillum"
2013,"Didemnum vexillum"
2014,"Didemnum vexillum"
