name,value
1,Cryptosula pallasiana
2,Phymatolithon lenormandii
3,Prasiola stipitata
4,Ascophyllum nodosum
5,Fucus 
6,Hildenbrandia rubra
7,Semibalanus balanoides
8,Ectocarpus
9,Verrucaria 
10,Fucus vesiculosus
11,Mastocarpus stellatus
12,Chondrus crispus
13,Saccharina latissima
14,Ulva lactuca
15,Corallina 
16,Corallina officinalis
17,Ralfsia 
18,Fucus distichus
19,Mytilus edulis
20,Modiolus modiolus
21,Cyanobacteria
22,Ceramium virgatum
23,Clathromorphum circumscriptum
24,Fucus vesiculosus var. spiralis
25,Ulva intestinalis
26,Testudinalia testudinalis
27,Amphipoda
28,Anomia simplex
29,Anurida maritima
30,Asterias forbesi
31,Asterias rubens
32,Cancer borealis
33,Cancer irroratus
34,Carcinus maenus
35,Platyhelminthes
36,Hiatella arctica
37,Isopoda
38,Lepidonotus
39,Littorina littorea
40,Littorina obtusata
41,Littorina saxatilis
42,Metridium dianthus
43,Nematodes
44,Nemertea
45,Nucella lapillus
46,Nudibranchia
47,Oligochaeta 
48,Ophiopholis
49,Pagurus acadianus
50,Polychaeta (class in Lophotrochozoa)
51,Spirorbis
52,Strongylocentrotus droebachiensis
53,Boreochiton ruber
54,Notoplana
55,Acoela
56,Euplana
57,Nicolea
58,Halichondria
59,Aplidium
60,Mya arenaria
61,Cirratulus
62,Culicoides
63,Praunus
64,Dendrodoa
65,Cancer
66,Flabellina 
