name,value
1,Cryptosula pallasiana
2,Phymatolithon lenormandii
3,Prasiola stipitata
4,Ascophyllum nodosum
5,Fucus 
6,Hildenbrandia rubra
7,Semibalanus balanoides
8,Ectocarpus
9,Verrucaria 
10,Fucus vesiculosus
11,Mastocarpus stellatus
12,Chondrus crispus
13,Saccharina latissima
14,Ulva lactuca
15,Corallina 
16,Corallina officinalis
17,Ralfsia 
18,Fucus distichus
19,Mytilus edulis
20,Modiolus modiolus
21,Cyanobacteria
22,Ceramium virgatum
23,Clathromorphum circumscriptum
24,Fucus vesiculosus var. spiralis
25,Ulva intestinalis
26,Plumaria plumosa
27,Palmaria palmata
28,Sphacelaria cirrosa 
29,Hincksia granulosa
30,Alaria esculenta
31,Polysiphonia
32,Porphyra
33,Ahnfeltia plicata
34,Chaetomorpha
35,Cladophora
36,Chaetomorpha ligustica
37,Erythrotrichia carnea
38,Pylaiella littoralis
39,Leathesia marina
40,Spongomorpha aeruginosa
41,Lithophyllum
42,Audouinella 
43,Halichondria
44,Metridium dianthus
45,Anomia simplex
46,Arthopyrenia
47,Elachista fucicola
48,Scytosiphon lomentaria 
49,Diatoma
50,Monostroma
51,Ptilota serrata
52,Cystoclonium purpureum
53,Chordaria flagelliformis
54,Bonnemaisonia hamifera
55,Codium fragile
56,Sphacelaria
57,Testudinalia testudinalis
58,Amphipoda
59,Annelida
60,Anurida maritima
61,Asterias forbesi
62,Asterias rubens
63,Cancer borealis
64,Cancer irroratus
65,Carcinus maenus
66,Platyhelminthes
67,Halacarus
68,Hiatella arctica
69,Idotea balthica
70,Isopoda
71,Lacuna vincta
72,Lepidonotus
73,Littorina littorea
74,Littorina obtusata
75,Littorina saxatilis
76,Micrura affinis
77,Nematodes
78,Nemertea
79,Nucella lapillus
80,Nudibranchia
81,Oligochaeta 
82,Ophiopholis
83,Pagurus acadianus
84,Polychaeta (class in Lophotrochozoa)
85,Spirorbis
86,Strongylocentrotus droebachiensis
87,Boreochiton ruber
88,Notoplana
89,Acoela
90,Turbellaria
91,Gaidropsarus
92,Colus stimpsoni
93,Euplana
94,Nicolea
95,Celleporella hyalina
96,Aplidium
97,Mya arenaria
98,Cirratulus
99,Molgula
100,Culicoides
101,Praunus
102,Dendrodoa
103,Cancer
104,Flabellina 
105,Foviella
106,Thelepus cincinnatus
107,Skeneopsis planorbis
108,Crepidula fornicata
109,Onchidoris
110,Grammaria
