who,species,synonym,phylum,group,common_name_division,common_name_division_bgr,turf_subcanopy_canopy_algae,steneck_dethier_morphology_algae,body_size_lower_cm,adult_body_size_upper_cm,body_size_avg_marlin,body_size_avg_bin,morphology1,morphology2,dietary_pref,dietary_pref_c,trophic_level,motility_juv,motility_adult,habitat_type,benthic,pelagic,epibiotic,invasive,human_use,thermal_lower_c,thermal_upper_c,thermal_details,area,intertidal,subtidal,notes,Source,Wikipedia
"Ellen, Laura",Laminaria digitata,,Ochrophyta,Algae,Brown Algae,Brown Algae,Canopy,leathery macrophyte,NA,50,NA,large,Canopy,leathery macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epifloral",yes,no,yes,no,,,19,LT0,subtidal,no,yes,BIOTIC/marlin,,WoRMS has weird numbers
"Laura, Ellen",Saccharina latissima,,Ochrophyta,Algae,Brown Algae,Brown Algae,Canopy,leathery macrophyte,NA,600,NA,very large,Canopy,leathery macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,"epifloral, epilithic",yes,no,yes,no,,,,,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=234483#attributes,
"Laura, Ellen",Saccorhiza dermatodea,,Ochrophyta,Algae,Brown Algae,Brown Algae,Canopy,leathery macrophyte,NA,300,NA,very large,Canopy,leathery macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,,,,,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145734#attributes,
Laura,Codium fragile,,Chlorophyta,Algae,Green Algae,Green Algae,Subcanopy,corticated foliose,NA,30,NA,medium-large,Subcanopy,corticated foliose,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,yes,,,29,LT0,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145086#attributes,
"Jen, Laura",Prasiola stipitata,,Chlorophyta,Algae,Green Algae,Green Algae,Turf,foliose algae,NA,2,NA,small-medium,Turf,foliose algae,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,no,,,,intertidal,yes,no,"Common in northwest Europe, North Cape south to Gibraltar. Iceland, Faeroes; Newfoundland.  {associated with bird rookeries where guano provides high concentrations of nitrogenous compounds}",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145800#attributes,
"Jen, Laura",Ulva lactuca,,Chlorophyta,Algae,Green Algae,Green Algae,Turf,foliose algae,NA,30,NA,medium-large,Turf,foliose algae,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epizoic, epiphytic",yes,no,yes,no,no,,,,intertidal,yes,no,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145984#attributes,
,Ulva intestinalis,,Chlorophyta,Algae,Green Algae,Green Algae,Turf,foliose algae,NA,20,NA,medium,Turf,foliose algae,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic, epizoic",yes,no,yes,,,,,,intertidal,yes,no,,,
,Ahnfeltia plicata,,Chlorophyta,Algae,Green Algae,Green Algae,Canopy,,NA,21,NA,medium,Canopy,,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,,,,,,shared,yes,yes,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144422#attributes,
,Chaetomorpha ligustica,,Chlorophyta,Algae,Green Algae,Green Algae,Canopy,,NA,65,NA,large,Canopy,,phototrophic,phototrophic,primary producer,sessile,sessile,"epiphytic, endophytaic",no,no,yes,,,,,,shared,yes,yes,,,
,Spongomorpha aeruginosa,,Chlorophyta,Algae,Green Algae,Green Algae,Subcanopy,,NA,,NA,,Subcanopy,,phototrophic,phototrophic,primary producer,sessile,sessile,epiphytic,no,no,yes,,,,,,intertidal,yes,no,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144413#attributes,
