who,species,synonym,phylum,group,common_name_division,common_name_division_bgr,turf_subcanopy_canopy_algae,steneck_dethier_morphology_algae,body_size_lower_cm,adult_body_size_upper_cm,body_size_avg_marlin,body_size_avg_bin,morphology1,morphology2,dietary_pref,dietary_pref_c,trophic_level,motility_juv,motility_adult,habitat_type,benthic,pelagic,epibiotic,invasive,human_use,thermal_lower_c,thermal_upper_c,thermal_details,area,intertidal,subtidal,notes,Source,Wikipedia
,Flustrellidra hispida,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,,,,,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,"epibenthic, epiphytic",yes,no,yes,no,no,,,,shared,yes,yes,,,
Kate,Boreochiton ruber,,Mollusca,Invertebrate,Chiton,Chiton,NA,NA,,2.1,small,small,calcareous,calcareous,herbivore,herbivore,primary consumer,motile,motile,epibenthic,yes,no,yes,no?,no,,,,subtidal,no,yes,,worms,
Kate,Stenosemus albus,,Mollusca,Invertebrate,Chiton,Chiton,NA,NA,,1.3,small,small,calcareous,calcareous,herbivore,herbivore,primary consumer,motile,motile,epibenthic,yes,no,no,no,no,,,,subtidal,no,yes,,sealifebase,
Ellen,Pachycerianthus borealis,,Cnidaria,Invertebrate,Cnidarian,Cnidarian,NA,NA,,30,medium-large,medium-large,soft,soft,Suspension feeder,filter-suspension,secondary consumer,motile,sessile,benthic infauna,yes,no,no,no,no,,,,subtidal,no,yes,,,
,Metridium senile,,Cnidaria,Invertebrate,Cnidarian,Cnidarian,NA,NA,21,50,medium-large,medium-large,soft,soft,Suspension feeder,filter-suspension,secondary consumer,motile,sessile,epifaunal/epilithic,yes,no,yes,no,,,,,intertidal,yes,no,,BIOTIC/marlin,
Alexis,Anurida maritima,,Arthropoda,invertebrate,Collembolan,Collembolan,NA,NA,,3,small,small,soft,soft,scavenger/detritivore,scavenger,decomposer,motile,motile,epibenthic,yes,no,no,no,no,,,,intertidal,yes,no,,,
Alexis,Amphipoda,,Arthropoda,Invertebrate,Crustacean,Crustacean,NA,NA,1,2,small,small,calcareous,calcareous,suspension feeder,filter-suspension,secondary consumer,motile,motile,epilithic/epifaunal,yes,yes,yes,NA,,,28,LT0,intertidal,yes,no,,,
Ellen,Cancer borealis,,Arthropoda,Invertebrate,Crustacean,Crustacean,NA,NA,0.2,20,small-medium,small-medium,calcareous,calcareous,omnivore,omnivore,secondary consumer,motile,motile,epibenthic,yes,no,no,no,yes,,,,shared,yes,yes,,,
Ellen,Cancer irroratus,,Arthropoda,Invertebrate,Crustacean,Crustacean,NA,NA,0.5,14,small-medium,small-medium,calcareous,calcareous,omnivore,omnivore,secondary consumer,motile,motile,epibenthic,yes,no,no,no,,,,,shared,yes,yes,,,
Ellen,Carcinus maenus,,Arthropoda,Invertebrate,Crustacean,Crustacean,NA,NA,3,10,small-medium,small-medium,calcareous,calcareous,omnivore,omnivore,secondary consumer,motile,motile,epibenthic,yes,no,yes,yes,no,,35.1,CTmax,intertidal,yes,no,,BIOTIC/marlin,
Ellen,Homarus americanus,,Arthropoda,Invertebrate,Crustacean,Crustacean,NA,NA,10,64,medium-large,medium-large,calcareous,calcareous,omnivore,predator,secondary consumer,motile,motile,epibenthic,yes,no,no,no,yes,,,,subtidal,no,yes,,"WoRMS,",
,Pagurus acadianus,,Arthropoda,Invertebrate,Crustacean,Crustacean,NA,NA,0.2,20,small-medium,small-medium,calcareous,calcareous,"omnivore, scavenger",scavenger,secondary consumer,motile,motile,epibenthic,yes,no,NA,no,no,,,,intertidal,yes,no,,worms/sealifebase,
,Hemigrapsus sanguineus,,Arthropoda,Invertebrate,Crustacean,Crustacean,NA,NA,0.2,20,small-medium,small-medium,calcareous,calcareous,omnivore,omnivore,secondary consumer,motile,motile,epibenthic,yes,no,no,yes,no,,,,intertidal,yes,no,,,
Jen,Isopoda,,Arthropoda,Invertebrate,Crustacean,Crustacean,NA,NA,,,,small,calcareous,calcareous,herbivore,herbivore,primary consumer,motile,motile,epibenthic,yes,no,no,NA,no,,,,intertidal,yes,no,,,
Kate,Cucumaria frondosa,,Echinodermata,Invertebrate,Echinoderm,Echinoderm,NA,NA,,50,medium-large,medium-large,calcareous,calcareous,deposit feeder,deposit feeder,decomposer,motile,motile,epibenthic,yes,no,no,no,no,,,,subtidal,no,yes,"calcareous due to ossicles, but generally soft bodied",sealifebase,
Jen,Echinarachnius parma,,Echinodermata,Invertebrate,Echinoderm,Echinoderm,NA,NA,1,10,small-medium,small-medium,calcareous,calcareous,deposit feeder,deposit feeder,decomposer,motile,motile,"epibenthic, infaunal",yes,no,no,no,,,,,subtidal,no,yes,,"WoRMS,",
Kate,Ophiopholis aculeata,,Echinodermata,Invertebrate,Echinoderm,Echinoderm,NA,NA,0.2,20,small,medium,calcareous,calcareous,scavenger/detritivore,scavenger,secondary consumer,motile,motile,epibenthic,yes,no,no,no,no,,,,subtidal,no,yes,,worms/sealifebase,
Ellen,Strongylocentrotus droebachiensis,,Echinodermata,Invertebrate,Echinoderm,Echinoderm,NA,NA,3,10,small-medium,small-medium,calcareous,calcareous,herbivore,herbivore,primary consumer,motile,motile,epibenthic,yes,no,yes,no,,,,,shared,yes,yes,,Memorial University of Newfoundland,
Jen,Lacuna vincta,,Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,1,2,small,small,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,motile,epifaunal,no,no,yes,no,no,,,,intertidal,yes,no,,BIOTIC/marlin,
Alexis,Littorina littorea,,Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,3,10,small-medium,small-medium,calcareous,calcareous,Herbivore,herbivore,primary consumer,motile,motile,epifaunal,no,no,yes,yes,yes,-13,35.3,LT50,intertidal,yes,no,,marlin database,
Alexis,Littorina obtusata,,Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,,1.5,small,small,calcareous,calcareous,Herbivore,herbivore,primary consumer,motile,motile,epifaunal,no,no,yes,no,,-13,29.6,LT50,intertidal,yes,no,,,
,Nudibranchia,"Flabellina, Onchidoris, Dendronotus",Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,,,small,small,soft,soft,,predator,secondary consumer,motile,motile,epibenthic,yes,no,,,,,,,shared,yes,yes,,worms/sealifebase,
,Gastropoda,"Colus stimpsoni, Skeneopsis planorbis, Astyris lunata",Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,,,small,small,calcareous,calcareous,,,,motile,motile,,yes,no,,,,,,,shared,yes,yes,,worms/sealifebase,
Alexis,Nucella lapillus,,Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,3,10,small-medium,small-medium,calcareous,calcareous,Predator,predator,secondary consumer,motile,motile,epifaunal,no,no,yes,no,,-6.4,28.2,LT50,intertidal,yes,no,,,
Ellen,Buccinum undatum,,Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,3,10,small-medium,small-medium,calcareous,calcareous,"predator, scavenger",predator,secondary consumer,motile,motile,"epifaunal, epibenthic",yes,no,yes,no,yes,,,,subtidal,no,yes,,,
Alexis,Crepidula fornicata,,Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,3,10,small-medium,small-medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,sessile,sessile,epifaunal/epibenthic/epizoic,yes,no,yes,no,,,,,shared,yes,yes,,,
Alexis,Littorina saxatilis,,Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,1,14,small-medium,small-medium,calcareous,calcareous,Herbivore,herbivore,primary consumer,motile,motile,epibenthic,yes,no,no,no,,-16.4,35,LT50,intertidal,yes,no,,,
,Tectura testudinalis,*syn of Testudinalia,Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,,2.5,small,small,calcareous,calcareous,herbivore,herbivore,primary consumer,motile,motile,epibenthic,yes,no,no,no,no,,,,intertidal,yes,no,,sealifebase,
Alexis,Testudinalia testudinalis,,Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,3,10,small-medium,small-medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,benthic,yes,no,yes,no,,-7.4,25.5,LT50,subtidal,no,yes,,,
,Thylacodes,,Mollusca,Invertebrate,Gastropod,Gastropod,NA,NA,,,,,calcareous,calcareous,filter feeder,filter-suspension,primary consumer,motile,sessile,"epibenthic, epizoic",yes,no,yes,no,no,,,,subtidal,no,yes,,,
,Dynamena pumila,,Cnidaria,Invertebrate,Hydrozoan,Hydrozoan,NA,NA,,,,,calcareous,calcareous,filter feeder,filter-suspension,primary consumer,motile,sessile,"epibenthic, epiphytic",yes,no,yes,no,no,,,,intertidal,yes,no,,,
Alexis,Obelia,,Cnidaria,Invertebrate,Hydrozoan,Hydrozoan,NA,NA,21,50,medium-large,medium-large,soft,soft,suspension feeder,filter-suspension,primary consumer,sessile,motile,epibenthic/epilithic/epiphytic/epifaunal/epizoic,yes,no,yes,no?,,,,,subtidal,no,yes,,,
Jen,Spirorbis,,Annelida,Invertebrate,Annelid worm,Annelid worm,NA,NA,,0.5,small,very small,calcareous,calcareous,filter feeder,filter-suspension,primary consumer,motile,sessile,epifloral,no,no,yes,no,no,,,,intertidal,yes,no,,"WoRMS,",
,Sedentary Polychaete,"Nicolea, Cirratulus, Thelepus cincinnatus",Annelida,Invertebrate,Annelid worm,Annelid worm,NA,NA,,,small,small,soft,soft,,,primary consumer,motile,sessile,,yes,no,,,no,,,,shared,yes,yes,,,
,Annelida,"Annelida, Polychaeta, Oligochaeta, Lepidonotus, Namanareis",Annelida,Invertebrate,Annelid worm,Annelid worm,NA,NA,,,small,small,soft,soft,,,,motile,motile,,,,,,no,,,,shared,yes,yes,,,
Ellen,Asterias forbesi,,Echinodermata,Invertebrate,Sea Stars,Sea Stars,NA,NA,7,15,small-medium,small-medium,calcareous,calcareous,predator,predator,secondary consumer,motile,motile,epibenthic,yes,no,no,no,no,,,,shared,yes,yes,,ADW,
Ellen,Asterias rubens,,Echinodermata,Invertebrate,Sea Stars,Sea Stars,NA,NA,21,50,medium-large,medium-large,calcareous,calcareous,predator/scavenger,predator,secondary consumer,motile,motile,epibenthic,yes,yes,no,no,no,,,,shared,yes,yes,,BIOTIC/marlin,
Ellen,Henricia sanguinolenta,,Echinodermata,Invertebrate,Sea Stars,Sea Stars,NA,NA,,10,small-medium,small-medium,calcareous,calcareous,filter feeder,filter-suspension,primary consumer,motile,motile,epibenthic,yes,no,no,no,no,,,,shared,yes,yes,,ADW,
Kate,Halichondria panicea,,Porifera,Invertebrate,Sponge,Sponge,NA,NA,1,25,medium,medium,soft,soft,suspension feeder,filter-suspension,primary consumer,motile,sessile,epiphytic/epilithic,yes,no,yes,no,no,,,,subtidal,no,yes,,BIOTIC/marlin/sealifebase,
Kate,Halisarca dujardinii,,Porifera,Invertebrate,Sponge,Sponge,NA,NA,,,,,soft,soft,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic,yes,no,yes,no,no,,,,subtidal,no,yes,,sealifebase,
Kate,Hymedesmia,,Porifera,Invertebrate,Sponge,Sponge,NA,NA,,,,,soft,soft,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic,yes,no,yes,NA,no,,,,subtidal,no,yes,,sealifebase,
Kate,Leucosolenia,,Porifera,Invertebrate,Sponge,Sponge,NA,NA,,,,,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic,yes,no,yes,NA,no,,,,subtidal,no,yes,calcareous due to spicules,sealifebase,
kate,Aplidium pallidum,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,2,40,small-medium,small-medium,soft,soft,filter feeder,filter-suspension,primary consumer,motile,sessile,benthic,yes,no,no,no,no,,,,subtidal,no,yes,colonial,worms,
Ellen,Ciona savignyi,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,11,20,medium,medium,soft,soft,suspension feeder,filter-suspension,primary consumer,sessile,sessile,epifaunal,no,no,yes,yes,,,,,subtidal,no,yes,,BIOTIC/marlin,
Jen,Boltenia echinata,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,,2,small,small,soft,soft,filter feeder,filter-suspension,primary consumer,motile,sessile,epilithic,yes,no,yes,no?,no,,,,subtidal,no,yes,,MARLIN,
Kate,Boltenia ovifera,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,,8,very small,small-medium,soft,soft,filter feeder,filter-suspension,primary consumer,motile,sessile,benthic,yes,no,yes,no,no,,,,subtidal,no,yes,,worms/sealifebase,
Alexis,Botrylloides violaceus,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,,,,medium,soft,soft,filter feeder,filter-suspension,primary consumer,motile,sessile,"epibenthic, epiphytic, epifaunal",yes,no,yes,yes,,,,,subtidal,no,yes,,sealifebase,
Alexis,Botryllus schlosseri,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,11,20,medium,medium,soft,soft,suspension feeder,filter-suspension,primary consumer,motile,sessile,epifaunal/epilithic,yes,no,yes,yes,,,,,shared,yes,yes,,,
Jen,Ciona intestinalis,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,2,15,medium,small-medium,soft,soft,filter feeder,filter-suspension,primary consumer,motile,sessile,"epilithic, epifloral",yes,no,yes,yes (controversial),no,,28?,,subtidal,no,yes,low wave exposure,MARLIN,
Jen,Dendrodoa carnea,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,,20,small,small,soft,soft,filter feeder,filter-suspension,primary consumer,motile,sessile,epilithic ,yes,no,yes,no,no,,,,subtidal,no,yes,,"WoRMS,",
Alexis,Didemnum albidum,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,1,2,small ,small,soft,soft,filter feeder,filter-suspension,primary consumer,motile,sessile,benthic,yes,no,yes,no,,,,,subtidal,no,yes,,,
Alexis,Didemnum vexillum,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,1,2,small ,small,soft,soft,filter feeder?,filter-suspension,primary consumer,sessile,sessile,"epibenthic, epiphytic, epifaunal",yes,no,yes,yes,,,,,shared,yes,yes,,,
Alexis,Diplosoma listerianum,,Tunicata,Invertebrate,Tunicate,Tunicate,NA,NA,0,1,very small,very small,soft,soft,suspension feeder,filter-suspension,primary consumer,motile,sessile,epilithic/epiphytic,yes,no,yes,yes,,,,,subtidal,no,yes,,,
,Small worm,"Platyhelminthes, Nematodes, Nemertea, Notoplana, Acoela, Turbellaria, Euplana, Foviella, Micrura",Mixed,Invertebrate,Small worm,Small worm,NA,NA,,,,,soft,soft,,,,motile,motile,,yes,,,,no,,,,shared,yes,yes,mix of phyla,,
Jen,Cyclopterus lumpus,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,61,medim,large,soft,soft,carnivore,predator,secondary consumer,motile,motile,benthopelagic,yes,yes,no,no,"commercial, fisheries",,,,subtidal,no,yes,lives up to 13 years,"WoRMS, fishbase",
Jen,Morone saxatilis,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,120,large,very large,soft,soft,carnivore,predator,secondary consumer,motile,motile,benthic,yes,no,no,no,"commercial, fisheries",,,,subtidal,no,yes,,"WoRMS, fishbase",
Jen,Myoxocephalus octodecemspinosus,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,46,medium,medium-large,soft,soft,carnivore,predator,secondary consumer,motile,motile,benthic,yes,no,no,no,"commercial, fisheries",,,,subtidal,no,yes,lives up to 11 years,"WoRMS, fishbase",
Jen,Myoxocephalus scorpius,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,60,medium,large,soft,soft,carnivore,predator,secondary consumer,motile,motile,benthic,yes,no,no,no,"commercial, fisheries",,,,subtidal,no,yes,,"WoRMS, fishbase",
Jen,Pholis gunnellus,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,25,medium,medium,soft,soft,carnivore,predator,secondary consumer,motile,motile,benthic,yes,no,no,no,"commercial, fisheries",,,,subtidal,no,yes,lives up to 14 years,"WoRMS, fishbase",
Jen,Pollachius virens,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,130,large,very large,soft,soft,carnivore,predator,secondary consumer,motile,motile,benthopelagic,yes,yes,no,no,"commercial, fisheries",,,,subtidal,no,yes,lives up to 25 years,"WoRMS, fishbase",
Jen,Pseudopleuronectes americanus,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,64,medium,large,soft,soft,carnivore,predator,secondary consumer,motile,motile,benthic,yes,no,no,no,"commercial, fisheries",1,29.1,LT50,subtidal,no,yes,lives up to 14 years,"WoRMS, fishbase",
Jen,Tautoga onitis,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,91,large,large,soft,soft,carnivore,predator,secondary consumer,motile,motile,benthic,yes,no,no,no,"commercial, gamefish",,,,subtidal,no,yes,,"WoRMS, fishbase",
Jen,Tautogolabrus adspersus,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,38,medium,medium-large,soft,soft,"carnivore, scavenger",predator,secondary consumer,motile,motile,benthic,yes,no,no,no,"commercial, fisheries",0.6,30,LT50,subtidal,no,yes,,"WoRMS, fishbase",
Jen,Urophycis regia,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,41,medium,medium-large,soft,soft,carnivore,predator,secondary consumer,motile,motile,benthic,yes,no,no,no,"commercial, fisheries",,,,subtidal,no,yes,,"WoRMS, fishbase",
,Gaidropsarus,,Vertebrata,Vertebrate,Fish,Fish,NA,NA,,,,,soft,soft,carnivore,predator,secondary consumer,motile,motile,benthic,yes,no,no,,,,,,subtidal,no,yes,,fishbase,
